names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,Significant
Rn18s-rs5,6.365014,1.5323887,1.9527173077670054e-10,7.304417403216579e-06,1.0,Significant
Mir6236,6.260055,2.785249,3.8484136579353604e-10,7.304417403216579e-06,1.0,Significant
Fabp4,-5.525342,-3.813151,3.288442421278085e-08,0.00037449439981999087,0.36,Significant
Scd1,-6.065131,-6.2795177,1.3184592101025762e-09,1.87685964706127e-05,0.08,Significant
Cfd,-6.3200316,-6.6445003,2.6150961897078375e-10,7.304417403216579e-06,0.08,Significant
