,TCGA-CS-4938-01,TCGA-CS-4941-01,TCGA-CS-4942-01,TCGA-CS-4943-01,TCGA-CS-4944-01,TCGA-CS-5390-01,TCGA-CS-5393-01,TCGA-CS-5394-01,TCGA-CS-5395-01,TCGA-CS-5396-01,TCGA-CS-5397-01,TCGA-CS-6188-01,TCGA-CS-6290-01,TCGA-CS-6665-01,TCGA-CS-6666-01,TCGA-CS-6667-01,TCGA-CS-6668-01,TCGA-CS-6669-01,TCGA-CS-6670-01,TCGA-DB-5273-01,TCGA-DB-5277-01,TCGA-DB-5278-01,TCGA-DB-5279-01,TCGA-DB-A4XB-01,TCGA-DB-A4XD-01,TCGA-DB-A4XF-01,TCGA-DB-A4XG-01,TCGA-DB-A64L-01,TCGA-DB-A64P-01,TCGA-DB-A64R-01,TCGA-DB-A64V-01,TCGA-DB-A64X-01,TCGA-DB-A75L-01,TCGA-DB-A75M-01,TCGA-DB-A75O-01,TCGA-DB-A75P-01,TCGA-DH-5141-01,TCGA-DH-5142-01,TCGA-DH-5144-01,TCGA-DH-A669-01,TCGA-DH-A66B-01,TCGA-DH-A66D-01,TCGA-DH-A66F-01,TCGA-DH-A66G-01,TCGA-DH-A7UR-01,TCGA-DH-A7US-01,TCGA-DH-A7UT-01,TCGA-DH-A7UU-01,TCGA-DH-A7UV-01,TCGA-DU-5847-01,TCGA-DU-5849-01,TCGA-DU-5854-01,TCGA-DU-5870-01,TCGA-DU-5874-01,TCGA-DU-6392-01,TCGA-DU-6393-01,TCGA-DU-6394-01,TCGA-DU-6397-01,TCGA-DU-6399-01,TCGA-DU-6400-01,TCGA-DU-6401-01,TCGA-DU-6402-01,TCGA-DU-6404-01,TCGA-DU-6405-01,TCGA-DU-6407-01,TCGA-DU-6408-01,TCGA-DU-6410-01,TCGA-DU-7006-01,TCGA-DU-7007-01,TCGA-DU-7008-01,TCGA-DU-7009-01,TCGA-DU-7010-01,TCGA-DU-7012-01,TCGA-DU-7013-01,TCGA-DU-7014-01,TCGA-DU-7015-01,TCGA-DU-7018-01,TCGA-DU-7290-01,TCGA-DU-7292-01,TCGA-DU-7294-01,TCGA-DU-7298-01,TCGA-DU-7299-01,TCGA-DU-7300-01,TCGA-DU-7301-01,TCGA-DU-7302-01,TCGA-DU-7309-01,TCGA-DU-8158-01,TCGA-DU-8164-01,TCGA-DU-8165-01,TCGA-DU-8168-01,TCGA-DU-A5TP-01,TCGA-DU-A5TS-01,TCGA-DU-A5TT-01,TCGA-DU-A5TU-01,TCGA-DU-A5TW-01,TCGA-DU-A5TY-01,TCGA-DU-A6S2-01,TCGA-DU-A6S3-01,TCGA-DU-A6S7-01,TCGA-DU-A6S8-01,TCGA-DU-A76K-01,TCGA-DU-A76L-01,TCGA-DU-A76O-01,TCGA-DU-A76R-01,TCGA-DU-A7T6-01,TCGA-DU-A7TA-01,TCGA-DU-A7TB-01,TCGA-DU-A7TC-01,TCGA-DU-A7TG-01,TCGA-DU-A7TI-01,TCGA-DU-A7TJ-01,TCGA-E1-5302-01,TCGA-E1-5303-01,TCGA-E1-5304-01,TCGA-E1-5305-01,TCGA-E1-5307-01,TCGA-E1-5311-01,TCGA-E1-5318-01,TCGA-E1-5319-01,TCGA-E1-A7YD-01,TCGA-E1-A7YE-01,TCGA-E1-A7YH-01,TCGA-E1-A7YI-01,TCGA-E1-A7YJ-01,TCGA-E1-A7YK-01,TCGA-E1-A7YL-01,TCGA-E1-A7YM-01,TCGA-E1-A7YN-01,TCGA-E1-A7YO-01,TCGA-E1-A7YQ-01,TCGA-E1-A7YS-01,TCGA-E1-A7YY-01,TCGA-E1-A7Z2-01,TCGA-E1-A7Z3-01,TCGA-E1-A7Z4-01,TCGA-E1-A7Z6-01,TCGA-EZ-7264-01,TCGA-F6-A8O3-01,TCGA-F6-A8O4-01,TCGA-FG-5962-01,TCGA-FG-5963-01,TCGA-FG-5964-01,TCGA-FG-6688-01,TCGA-FG-6689-01,TCGA-FG-6690-01,TCGA-FG-6691-01,TCGA-FG-6692-01,TCGA-FG-7634-01,TCGA-FG-7636-01,TCGA-FG-7638-01,TCGA-FG-7641-01,TCGA-FG-8182-01,TCGA-FG-8185-01,TCGA-FG-8189-01,TCGA-FG-8191-01,TCGA-FG-A4MT-01,TCGA-FG-A4MX-01,TCGA-FG-A60L-01,TCGA-FG-A6IZ-01,TCGA-FG-A6J1-01,TCGA-FG-A6J3-01,TCGA-FG-A70Y-01,TCGA-FG-A710-01,TCGA-FG-A711-01,TCGA-FG-A87N-01,TCGA-FG-A87Q-01,TCGA-HT-7467-01,TCGA-HT-7468-01,TCGA-HT-7469-01,TCGA-HT-7470-01,TCGA-HT-7471-01,TCGA-HT-7472-01,TCGA-HT-7476-01,TCGA-HT-7477-01,TCGA-HT-7478-01,TCGA-HT-7479-01,TCGA-HT-7480-01,TCGA-HT-7481-01,TCGA-HT-7485-01,TCGA-HT-7601-01,TCGA-HT-7602-01,TCGA-HT-7603-01,TCGA-HT-7604-01,TCGA-HT-7605-01,TCGA-HT-7606-01,TCGA-HT-7607-01,TCGA-HT-7616-01,TCGA-HT-7620-01,TCGA-HT-7676-01,TCGA-HT-7677-01,TCGA-HT-7680-01,TCGA-HT-7686-01,TCGA-HT-7687-01,TCGA-HT-7688-01,TCGA-HT-7689-01,TCGA-HT-7691-01,TCGA-HT-7693-01,TCGA-HT-7694-01,TCGA-HT-7695-01,TCGA-HT-7854-01,TCGA-HT-7855-01,TCGA-HT-7856-01,TCGA-HT-7857-01,TCGA-HT-7858-01,TCGA-HT-7860-01,TCGA-HT-7874-01,TCGA-HT-7875-01,TCGA-HT-7877-01,TCGA-HT-7881-01,TCGA-HT-7882-01,TCGA-HT-7884-01,TCGA-HT-8010-01,TCGA-HT-8011-01,TCGA-HT-8012-01,TCGA-HT-8015-01,TCGA-HT-8019-01,TCGA-HT-8104-01,TCGA-HT-8105-01,TCGA-HT-8106-01,TCGA-HT-8107-01,TCGA-HT-8108-01,TCGA-HT-8109-01,TCGA-HT-8110-01,TCGA-HT-8113-01,TCGA-HT-8558-01,TCGA-HT-8563-01,TCGA-HT-8564-01,TCGA-HT-A4DS-01,TCGA-HT-A4DV-01,TCGA-HT-A5R5-01,TCGA-HT-A5R7-01,TCGA-HT-A5R9-01,TCGA-HT-A5RA-01,TCGA-HT-A5RB-01,TCGA-HT-A5RC-01,TCGA-HT-A615-01,TCGA-HT-A616-01,TCGA-HT-A617-01,TCGA-HT-A618-01,TCGA-HT-A61A-01,TCGA-HT-A61B-01,TCGA-HT-A61C-01,TCGA-HT-A74H-01,TCGA-HT-A74K-01,TCGA-HT-A74O-01,TCGA-HW-7486-01,TCGA-HW-7487-01,TCGA-HW-7490-01,TCGA-HW-7491-01,TCGA-HW-7493-01,TCGA-HW-7495-01,TCGA-HW-8319-01,TCGA-HW-8320-01,TCGA-HW-8321-01,TCGA-HW-8322-01,TCGA-HW-A5KJ-01,TCGA-HW-A5KK-01,TCGA-HW-A5KL-01,TCGA-HW-A5KM-01,TCGA-IK-7675-01,TCGA-KT-A7W1-01,TCGA-P5-A5ET-01,TCGA-P5-A5EU-01,TCGA-P5-A5EV-01,TCGA-P5-A5EW-01,TCGA-P5-A5EX-01,TCGA-P5-A5EY-01,TCGA-P5-A5EZ-01,TCGA-P5-A5F0-01,TCGA-P5-A5F1-01,TCGA-P5-A5F2-01,TCGA-P5-A5F4-01,TCGA-P5-A5F6-01,TCGA-P5-A72U-01,TCGA-P5-A72W-01,TCGA-P5-A72X-01,TCGA-P5-A72Z-01,TCGA-P5-A733-01,TCGA-P5-A735-01,TCGA-P5-A736-01,TCGA-P5-A780-01,TCGA-P5-A781-01,TCGA-QH-A65R-01,TCGA-QH-A65V-01,TCGA-QH-A65Z-01,TCGA-QH-A6CS-01,TCGA-QH-A6CU-01,TCGA-QH-A6CX-01,TCGA-QH-A6X8-01,TCGA-QH-A6X9-01,TCGA-QH-A6XC-01,TCGA-QH-A86X-01,TCGA-R8-A6MK-01,TCGA-R8-A6ML-01,TCGA-R8-A6MO-01,TCGA-RY-A83X-01,TCGA-RY-A83Y-01,TCGA-RY-A83Z-01,TCGA-RY-A840-01,TCGA-RY-A843-01,TCGA-RY-A847-01,TCGA-S9-A6TS-01,TCGA-S9-A6TU-01,TCGA-S9-A6TW-01,TCGA-S9-A6TX-01,TCGA-S9-A6TY-01,TCGA-S9-A6TZ-01,TCGA-S9-A6U0-01,TCGA-S9-A6U1-01,TCGA-S9-A6U2-01,TCGA-S9-A6U5-01,TCGA-S9-A6U6-01,TCGA-S9-A6U8-01,TCGA-S9-A6U9-01,TCGA-S9-A6UA-01,TCGA-S9-A6UB-01,TCGA-S9-A6WD-01,TCGA-S9-A6WE-01,TCGA-S9-A6WG-01,TCGA-S9-A6WL-01,TCGA-S9-A6WM-01,TCGA-S9-A6WN-01,TCGA-S9-A6WO-01,TCGA-S9-A7IS-01,TCGA-S9-A7IX-01,TCGA-S9-A7IZ-01,TCGA-S9-A7J0-01,TCGA-S9-A7J1-01,TCGA-S9-A7J2-01,TCGA-S9-A7J3-01,TCGA-S9-A7QW-01,TCGA-S9-A7QX-01,TCGA-S9-A7QZ-01,TCGA-S9-A7R1-01,TCGA-S9-A7R2-01,TCGA-S9-A7R3-01,TCGA-S9-A7R4-01,TCGA-S9-A7R7-01,TCGA-S9-A7R8-01,TCGA-S9-A89V-01,TCGA-S9-A89Z-01,TCGA-TM-A7C3-01,TCGA-TM-A7C4-01,TCGA-TM-A7CA-01,TCGA-TM-A7CF-01,TCGA-TM-A84B-01,TCGA-TM-A84C-01,TCGA-TM-A84F-01,TCGA-TM-A84G-01,TCGA-TM-A84I-01,TCGA-TM-A84J-01,TCGA-TM-A84M-01,TCGA-TM-A84O-01,TCGA-TM-A84Q-01,TCGA-TM-A84R-01,TCGA-TM-A84S-01,TCGA-TQ-A7RF-01,TCGA-TQ-A7RI-01,TCGA-TQ-A7RN-01,TCGA-TQ-A7RQ-01,TCGA-TQ-A7RS-01,TCGA-TQ-A7RU-01,TCGA-TQ-A7RV-01,TCGA-TQ-A7RW-01,TCGA-TQ-A8XE-01,TCGA-VM-A8C8-01,TCGA-VM-A8C9-01,TCGA-VM-A8CA-01,TCGA-VM-A8CB-01,TCGA-VM-A8CD-01,TCGA-VM-A8CE-01,TCGA-VM-A8CF-01,TCGA-VM-A8CH-01,TCGA-VV-A86M-01,TCGA-VW-A7QS-01,TCGA-VW-A8FI-01,TCGA-W9-A837-01,TCGA-WH-A86K-01,TCGA-WY-A858-01,TCGA-WY-A859-01,TCGA-WY-A85A-01,TCGA-WY-A85B-01,TCGA-WY-A85C-01
count,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
mean,1080.7209380399997,960.2200873500001,934.3306084100001,830.1040146,1405.05025444,835.2507914,849.37620767,800.9893366,941.0386240600001,937.9493630199999,894.6990755199998,961.7130547899999,1140.8113529799998,873.5551356899999,836.5532763,862.7798033099999,813.37646187,947.82623543,877.0910258600001,1141.74745537,797.1152062299999,881.0367613499999,1042.02152709,786.57970146,852.98788522,916.0601642500002,796.6593101500001,830.40877522,832.99749863,790.92264724,997.9020184000001,890.3013831599999,844.4836065399999,1028.4630952,1218.58457196,1018.53802298,911.23986656,923.294246,827.20670391,846.88589977,948.4673395599998,888.4295457799999,967.5032866300002,918.26644988,773.24857,880.47131022,933.02313682,820.28820679,893.1105900899998,882.45433807,864.78443833,973.6312456799999,936.4307888999998,816.02370186,858.3322805799999,846.49782474,860.35553628,913.4868054700003,896.71023703,850.83749472,907.3849601399999,997.4392851199999,901.3284551200001,951.8530064999998,952.02307128,915.3927386100002,816.45889301,906.77487949,1000.8682722000001,834.50081967,825.27340021,864.72123378,1055.50713227,923.2154895,889.1162352900001,943.3657874099999,832.5359661,894.83481536,945.37512958,845.11881767,801.82081096,850.18247751,898.9111304099999,904.9286224299999,828.42218943,872.6509752500001,1045.6672272400003,817.19843238,790.85798972,795.7523112700001,835.87657676,855.12535932,940.4015504900001,876.7961420099999,785.2459564899999,933.74517699,901.78101076,846.63785686,835.68019149,795.97016076,953.6764069500001,885.8549402699999,929.3555758300001,859.5744109,878.1922741000001,824.07329688,936.05103869,864.0674366999999,890.13343363,929.8443643100001,882.2544495900001,963.2398497099999,1133.7833571400001,765.86150776,863.43846746,863.76176949,845.5410637699999,838.4400305700001,929.05915631,892.00506831,920.0543969900001,870.4793605000001,770.58276471,907.7862872299999,1010.2774640999999,1014.5104990400001,894.3747806299999,1051.5723819599998,833.9446715299999,894.0329051600002,785.92880884,950.70745359,973.99258259,914.5637657499999,1014.51008108,1015.65795981,814.50867897,858.39541648,862.7944028300001,884.2213975999999,975.45385851,921.5741945,1065.63215407,946.84817138,895.89496065,867.4667417900001,936.05528006,841.97266438,910.0812914199998,942.2509020800001,827.53952896,829.3901456,877.61865595,929.7851217500001,1034.70577751,807.44819532,793.90162385,1045.85734272,938.2403795599998,987.12826743,1129.1705447100003,955.1172612,896.4394430799998,945.6930055700001,783.3980561,926.0305324900002,892.19731556,881.0334540100001,769.12900296,896.28524273,837.98230993,966.28080815,853.4888586399999,791.20656688,993.4336405600001,1007.6085875599999,844.8829199300001,856.34721633,1017.87506,982.04187383,1106.42765413,889.83481261,844.2183958799999,926.98581009,817.99006988,940.24571302,823.63095516,976.76204538,892.40602161,851.1542266099999,1248.08678019,1009.6042516999998,829.89933262,833.5699722,905.8414326200001,1044.92267502,817.34288453,893.7131543499999,855.76313424,1088.21087052,839.0300645300001,875.8970421700001,981.5592393400001,942.2916326899998,965.7708976599998,899.28047972,847.6235764699999,840.6992435400002,905.1714174499999,1084.32142486,854.9679806699999,1039.85915045,850.9821178300001,849.0048951299999,939.72598892,957.1153296699999,926.4969637199999,796.55497097,967.38570955,909.5950605800001,828.86575601,895.69846934,999.64697687,899.5370141600001,902.55739202,1054.63397626,858.71535648,1000.2030824799999,894.6916059999999,1075.19893453,900.7604601799999,783.3064891199999,912.9441786400001,799.1329626800001,992.3094510499999,842.14032653,858.60823205,940.08056536,949.29982515,877.9199308600001,879.1997860199999,886.3633085000001,1087.23255278,1046.27750885,975.7350280200001,916.01077038,831.79628406,911.32078048,832.9562432199999,955.2510160700001,858.52085175,857.9689744199999,866.0175855499999,869.6659151099999,804.05234426,829.0869661199999,1040.7458293299999,898.0369462200001,1009.9423386299998,841.61354595,872.02133771,836.18290739,888.0478902899999,854.60109494,926.86244169,1144.76272738,1045.45459641,833.1511303200001,814.46339436,1052.37028453,880.879031,806.2113418100001,860.7294069,1097.81294985,946.43845494,950.03679561,886.27220062,922.1953523199998,865.4463546599999,1168.60877979,854.88930911,898.1931902599998,876.8694954199999,964.1890681300001,860.0400088700001,1030.1494404100001,1048.3708760900001,1086.96759578,852.61259045,833.35541525,937.70520099,896.2804648400001,1003.1762735899999,906.71999988,853.12499174,822.07220117,885.2689790800001,918.8600424800001,856.2942713299999,929.99434791,890.4525436,896.8795495200001,879.06125113,841.45340367,864.49564135,797.1210014000001,890.29967249,980.4186024799999,821.5108249799999,939.82559329,1011.9367886999999,870.7773777800002,937.04025956,1022.57701875,1007.6091882,787.1623577500001,893.62485449,869.4748193,979.9886873000002,832.92063784,888.2924306299999,1191.56031666,947.19142278,809.0886533600001,906.5543289900002,931.1809257799999,771.87447876,919.6571033600001,828.8662178,881.7767377799998,819.80623026,899.27383466,828.3247194800001,877.14100396,943.30295078,954.23605158,832.0223657499998,1005.5847182,855.95692544,873.1439870099999,927.6325419399999,840.8211402100001,864.0866175000001,827.9617068599999,871.68463414,923.2151364399999,1129.6500541199998,1067.58607315,808.5724236899999,866.2948350499998,833.8482000099999,823.0583768100001,932.32201239,911.91515699,872.84776405,957.0302528900002,869.3154546599999,882.04338167,850.1409204299999,838.2003066800002,856.16794451,837.87875116,833.8178524599999,858.6140399,845.1257862399999,938.91304329,1283.0121365500002,1063.50626792,780.40107631,1047.11488987,900.28059089,1054.1793035399999,877.2439083200001,800.02053558,815.72809749,1008.7885976800001,859.36814402,932.45962116,943.5521782299999,846.58402377,857.27700457,819.69479697,854.5577864500001
std,17037.247874625216,7037.2992534995055,7701.750809920031,3431.18928924557,32534.330214186684,3123.5155809327366,3444.057315208433,2478.135741587306,5252.658259428595,4231.07900987438,5285.463139642075,6841.581853179214,20838.69878636297,4016.1648895197445,3574.9105190683626,3424.6304322186147,2734.4032697960056,3182.0850208822376,3849.1734620740276,18753.761065648523,2597.5914213138494,3969.903876988569,15372.579703293071,2885.2471698308887,4723.3406385809785,5777.45571303809,2747.1858586860867,3294.9602675251804,3129.2671207810367,2621.155563505161,9817.653923114785,5046.500855834043,3792.009107757473,12295.170839342783,25542.173420019204,6885.055386687156,4180.409122155497,6606.280665366776,3346.625961409014,4222.731386203953,9244.097695736014,6046.442615221616,9393.20661136576,6850.26405958953,2361.334797414753,4474.012245687206,6730.91455196217,3612.933772031421,5519.448711639426,5690.90642637876,3915.688632819247,7938.017518287566,5213.080962531463,3385.892631236318,2809.576143125017,3358.5559954021987,5935.20795308204,5318.17777921111,5842.54138625148,3369.917283384376,3749.850562023396,6760.852287030411,3183.1578513276245,8680.28689350653,6303.205797005518,5815.91267488686,3083.313585547227,5171.816427660733,7457.783563505671,3405.164493372392,2777.1598051074034,4040.095234811478,10791.20614692588,6941.700534935933,4736.041660754701,7525.270907940702,3019.289474988847,4578.1875971999725,4963.23777810031,3275.296072365584,2989.6406284001228,3591.3385101736285,4695.190538149887,5444.012904872589,2736.3260122657853,2785.2107880762355,11936.957545414763,2497.6898818908417,2903.9098018807244,2191.241442316407,3711.6319145707193,4152.045930814114,8179.258591943224,5474.415900027025,3763.4608312069254,5904.308535313488,3700.636606220767,2987.7597328825864,4283.620817714011,3175.028379031956,5071.367067325789,3412.3352058608675,7207.694118752039,3926.0464613112044,3658.902118039033,3369.564767149279,3767.054962663173,3661.9666735644664,3292.7452611197255,5073.885409916601,3833.696978148455,7775.779198443564,19400.571217724908,2995.132817677572,4200.663450330005,3687.2953225410515,3071.1677202929686,3475.1357604280183,5615.397802447858,3957.841030921517,5455.796105610716,4364.6291926005215,2219.2720581016224,4903.644764028979,10401.673861770474,8007.880070337826,4274.362466795132,9620.8398457718,3448.0220337407154,5519.576251177314,2656.701065291155,3263.8094353266374,5784.178124811112,4842.714704121804,12298.40892159815,9896.3306142051,2793.055561612592,3082.416425627483,3338.025671011858,4863.692544415491,6438.304601170098,5253.392077625249,11182.515838220921,6594.592247155943,5410.501353773559,4019.6222512451654,5616.063984553485,3147.3411233698207,5020.712960424403,5433.233632775045,2836.4351607504113,4276.951972615944,3706.1522115191574,2932.481297864539,9244.553168517636,3839.5683329717604,3712.705295826385,11215.51768522807,5178.146613278978,5439.5913505479875,12441.064884111966,5518.354872881853,4369.398723062819,6672.167116820051,2407.580749693452,4439.740379017063,3518.3544339569366,4226.257076576946,2190.244602070576,3873.2834991751092,4124.8331412602,11194.795227471317,2813.969923452166,2787.005672325271,6368.898746853629,12082.57504790257,3106.9709401211117,3210.753822756857,8602.925370889188,8817.875159529807,16639.515207772216,3164.4586134983547,4109.522392403235,6485.683275500672,3404.3900051757682,4997.629077391519,3701.484482650573,11246.565637690599,5758.264761077468,4176.521433202941,23012.08226980022,10187.853018812075,3034.9823485959673,2474.9222911870565,7411.033752169142,8798.2908398713,3057.420968324704,3616.6681316332906,3081.2624752604884,13080.258361813087,3498.1036208436335,2806.7878655603263,6159.660330314173,7626.320414199482,8723.908916489092,3537.3260760544294,3342.6528752932,2743.5128663622286,4122.545740508474,5738.879365853014,3689.737543215503,11231.725066882811,3664.1379570900094,3705.8309303902106,5639.555331864104,3367.7630249130366,5572.486430945755,2366.1653513543047,5168.763267020969,2927.105778788453,3506.506413700783,4680.779429540788,10719.682793388445,2899.4937016181934,2840.2883402451503,7895.081021803685,2977.8709031815597,7523.952476675458,5177.760248502352,14705.910453130917,5817.114450617668,2875.153059384824,5009.324828557494,2632.70926776562,9118.065011255381,4498.127460796255,3024.0691562217075,5186.665708533333,9363.934757726875,2971.2412484681445,6763.348936408099,4172.016090180399,13874.165984428366,7093.038624035061,7812.264521822567,4756.365253526099,2759.286617100185,6802.0441197026375,2648.5580820878176,6486.40722688517,3533.87194558721,3456.3666573621895,4726.278709623315,3586.9388182807834,2778.8256694668107,3180.043909315815,11957.192431910933,7372.614833591859,8274.65050380041,4013.2237414114707,3557.051764829456,3220.802619373966,6500.808297357759,3875.99019016718,6679.990598503734,19031.63243151545,7535.940692728231,4423.0216906073665,2514.489738215684,13044.515423913313,4795.191263188366,2491.477194527798,3262.165424020537,10417.38931826178,7159.131419190474,7044.215873501566,3971.994496296715,4833.204545438744,4948.551995228394,23931.940626010073,3582.2245015425424,5751.377126181564,3543.911122040577,8853.714529302099,4318.805868730905,10686.356879789548,13236.959001332574,13184.424818987203,3041.476790543574,2961.143462494034,5770.292335890572,4161.574546801605,12600.641366613305,6265.699872073109,3670.26618361439,3211.4652519139995,3935.8345285639443,5685.425892617235,3105.607992230456,6447.798967619103,5091.605312803573,4959.147119185014,4806.054226250879,3096.4735807330067,4154.027072562672,2455.659884575386,6820.698199317644,6585.128423443216,3154.702000090293,7299.028325633596,8204.823169915886,4107.121475415522,10117.374653827515,13846.914769489085,7136.500296432299,2742.109922070809,6536.222572673635,4063.6139405706035,9228.50437159787,3372.1275910851614,4358.209503028305,17636.70624270592,10425.340532077826,2561.953165852261,6985.992912973772,5150.534798816066,2791.0007096239992,5301.635022422133,3110.56420678222,4440.653535490242,3141.8955380221673,6757.861056934983,2790.1743457391017,3748.489647137953,7979.6368011305985,10974.581466096994,3616.3325309709567,10169.958963262205,5449.193615837507,4873.103895864703,6071.141374257003,3651.6073705924528,3772.1275761124343,3348.4756774737225,3416.9652883832073,4815.903793517107,17461.546260384126,15254.039626300504,3148.0423615086283,5281.001208408763,3094.1488728441195,3037.0264979106328,8944.864543719337,8163.571706500507,2692.68621823324,7208.262808015013,5258.0181770529825,4673.933238721576,3643.6176047008526,2921.1165040371147,3986.3216244525124,3456.285833921397,3446.9615442683503,4820.526848510549,3981.5858770319705,10943.463194166727,16055.569765407572,13195.511772775857,2707.3167781154225,7899.977959202288,4852.953271125877,13432.404502898462,6544.629214615527,4136.805048374066,3520.7225457231443,11715.092709109382,3309.618904732611,6170.890945527929,9664.028060320834,2729.647460231119,3355.562666466368,4244.670046178014,4806.112505039537
