,mt,ribo,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,highly_variable,means,dispersions,dispersions_norm
Adgre1,False,False,1538,0.09761802,94.46603339090386,2713.0,True,0.3857290555850717,2.52870199570495,2.0716298
L3mbtl4,False,False,308,0.021481002,98.89176741508348,597.0,True,0.09796906509080713,2.68211581746839,2.2126782
C230072F16Rik,False,False,256,0.028893206,99.07887161773172,803.0,True,0.09151417170523041,2.677647753079953,2.2029958
Gm56908,False,False,7,0.00025187104,99.97481289579736,7.0,True,0.0014015327728977198,2.403772650134911,1.6095054
Cldn9,False,False,3,0.00010794473,99.98920552677029,3.0,True,0.0007984961126522727,2.3612755777998533,1.5174139
2410017I17Rik,False,False,7,0.00028785263,99.97481289579736,8.0,True,0.001743588825484261,2.3660717378948704,1.5278071
Gm20546,False,False,1,3.598158e-05,99.99640184225676,1.0,True,0.000607331410410853,2.7887181022933336,2.4436865
Or2h2b-ps1,False,False,4,0.00017990789,99.98560736902706,5.0,True,0.0010392976520653247,2.492945503152021,1.802744
Vmn2r127,False,False,1,3.598158e-05,99.99640184225676,1.0,True,0.0005298203396777649,2.6521426428512442,2.147726
Gm55596,False,False,7,0.00025187104,99.97481289579736,7.0,True,0.0008992038731864892,2.469199514683941,1.7512861
D17H6S56E-5,False,False,436,0.019537997,98.43120322394934,543.0,True,0.09318977740228093,2.3460717282073986,1.4844669
Tnf,False,False,29,0.0013672999,99.89565342544617,38.0,True,0.007182521052773886,2.3487378474417744,1.4902444
Gm20481,False,False,1,3.598158e-05,99.99640184225676,1.0,True,0.0006373774796284451,2.837020608510592,2.5483587
Gm20508,False,False,10,0.00039579734,99.96401842256765,11.0,True,0.0023707948610717303,2.5670851347793797,1.9634055
Kank3,False,False,481,0.020113701,98.26928612550374,559.0,True,0.10386679252388228,2.4021043191463747,1.6058902
Gm49934,False,False,3,0.00010794473,99.98920552677029,3.0,True,0.00047391367765614297,2.3416739123379715,1.4749367
Gm34510,False,False,8,0.00028785263,99.97121473805412,8.0,True,0.001659730562120341,2.3326064760461653,1.4552876
Slc8a1,False,False,6749,0.63795334,75.71603339090386,17730.0,True,1.3351808850800173,3.0793865497015367,2.088759
Gm29206,False,False,1,3.598158e-05,99.99640184225676,1.0,True,0.0004353623868638819,2.4557361846388677,1.722111
Gm28848,False,False,1,3.598158e-05,99.99640184225676,1.0,True,0.0005444906327955459,2.679462763195843,2.206929
Gm21294,False,False,4,0.00014392631,99.98560736902706,4.0,True,0.0014354616322169403,2.383234574188121,1.5649992
Gm21858,False,False,1,3.598158e-05,99.99640184225676,1.0,True,0.0004716340523493011,2.535779027053042,1.8955648
Gm21729,False,False,1,3.598158e-05,99.99640184225676,1.0,True,0.0004895554053046464,2.573082176764457,1.9764011
Cdh2,False,False,312,0.016263673,98.87737478411054,452.0,True,0.07820267424172431,2.722112905715715,2.2993524
4921533I20Rik,False,False,6,0.00021588946,99.97841105354058,6.0,True,0.001796692740327702,2.4861237118787196,1.7879611
9330117O12Rik,False,False,6,0.0003238342,99.97841105354058,9.0,True,0.002558480085579417,3.289826986843979,3.5295951
Gm54359,False,False,9,0.00039579734,99.96761658031087,11.0,True,0.0023149730688436536,2.6341697578693997,2.1087785
Gm50049,False,False,1,3.598158e-05,99.99640184225676,1.0,True,0.0006194138723055291,2.8084231631033,2.4863877
Fbn2,False,False,170,0.008167818,99.38831318364997,227.0,True,0.04353290819356347,2.6802069153080583,2.2085416
Klhl14,False,False,1236,0.06998417,95.55267702936096,1945.0,True,0.3022745686265665,2.4721674832858236,1.7577178
Adamts19,False,False,223,0.012197754,99.19761082325849,339.0,True,0.05510166312004352,2.384956614405238,1.5687308
Chsy3,False,False,1652,0.09326425,94.05584340817501,2592.0,True,0.3312625914840671,2.485260527423775,1.9296689
Iigp1,False,False,577,0.031124065,97.92386298215314,865.0,True,0.13446285836245983,2.6220643813815445,2.082546
Myoz3,False,False,8,0.00028785263,99.97121473805412,8.0,True,0.0019859709744680432,2.46031332402724,1.7320297
Cd74,False,False,3806,0.31904864,86.30541162924584,8867.0,True,0.890954431291085,3.3930719340697615,4.146053
Pdgfrb,False,False,712,0.034074552,97.43811168681636,947.0,True,0.16371320658972205,2.3948213811238177,1.5901079
Fhod3,False,False,1894,0.10373489,93.18508923431203,2883.0,True,0.3873165380327427,2.4222816614682428,1.7238625
Celf4,False,False,1304,0.07437392,95.30800230282097,2067.0,True,0.3099918633212815,2.538880442383135,2.1048915
Gm33228,False,False,85,0.0042098444,99.69415659182499,117.0,True,0.020877079632515054,2.393345535347065,1.5869098
Gm33674,False,False,4,0.00014392631,99.98560736902706,4.0,True,0.000882270835796738,2.490205130466161,1.7968056
Afap1l1,False,False,529,0.022920264,98.09657455382845,637.0,True,0.1288856011326461,2.470093617711378,1.7532238
Ablim3,False,False,1269,0.07825993,95.43393782383419,2175.0,True,0.3723965180427296,2.9881095388932817,3.5729105
Gm26717,False,False,8,0.0003238342,99.97121473805412,9.0,True,0.0024548190775375597,2.4697755800643315,1.7525345
Camk4,False,False,309,0.017163213,98.88816925734024,477.0,True,0.11302851028746076,3.1187425353635505,3.1588533
Epb41l4a,False,False,1956,0.10046057,92.96200345423144,2792.0,True,0.41298249219775135,2.3632606797382794,1.5309901
Piezo2,False,False,760,0.041810594,97.26540011514105,1162.0,True,0.20132465041304018,2.691391198893266,2.232778
Gm26972,False,False,10,0.00035981578,99.96401842256765,10.0,True,0.002085785682911377,2.400431249984592,1.6022646
Egr1,False,False,748,0.037924584,97.30857800805988,1054.0,True,0.1705179867333563,2.401181790496253,1.603891
Nrg2,False,False,1063,0.07048791,96.1751583189407,1959.0,True,0.3056719065291103,2.6937525567969534,2.2378953
Ccbe1,False,False,5562,0.41727835,79.98704663212435,11597.0,True,1.062270687320159,2.855037158851153,2.3744502
Gm50156,False,False,1,3.598158e-05,99.99640184225676,1.0,True,0.0005216827738707,2.6366603179826775,2.1141756
Arap3,False,False,190,0.0074481866,99.31635002878527,207.0,True,0.04770210683060443,2.3623363556398007,1.5197126
Gm50344,False,False,9,0.0003238342,99.96761658031087,9.0,True,0.0013388811688593602,2.408457022668762,1.6196566
Gm31087,False,False,3,0.00010794473,99.98920552677029,3.0,True,0.001064672922195871,2.3970418234676827,1.5949197
Kctd16,False,False,321,0.017379101,98.84499136442142,483.0,True,0.08966310349602809,2.4772743481610546,1.7687844
Ppp2r2b,False,False,3906,0.43120322,85.94559585492227,11984.0,True,1.143873000563848,3.2838973156496296,3.580439
Stk32a,False,False,24,0.0011154289,99.91364421416235,31.0,True,0.0051363961549455535,2.4785193528539433,1.7714823
Dpysl3,False,False,1757,0.09175302,93.6780368451353,2550.0,True,0.36588896029661294,2.4112833118607298,1.6879215
Mcc,False,False,3676,0.22884284,86.77317213586645,6360.0,True,0.7925290021293806,2.6734719837733247,2.080064
A330093E20Rik,False,False,795,0.1957038,97.13946459412782,5439.0,True,0.5369092255920711,4.422780965868494,8.26122
