names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,Significant
Mir6236,60.300415,2.3662415,0.0,0.0,0.9996632618700191,Significant
Taco1,57.679947,4.9876246,0.0,0.0,0.8506005163317993,Significant
Rn18s-rs5,56.963028,1.5807573,0.0,0.0,1.0,Significant
Zbtb16,43.978218,2.416152,0.0,0.0,0.851722976765069,Significant
Slit3,40.52428,2.5609925,0.0,0.0,0.8341003479627344,Significant
Eepd1,39.89979,2.8810608,0.0,0.0,0.7291502974520148,Significant
Npr3,39.31668,3.362237,0.0,0.0,0.6776293635649343,Significant
Dapk1,37.295063,2.1698287,1.9730385965081965e-304,8.642060824905633e-301,0.7746099449994388,Significant
Tenm4,34.69793,2.1606784,8.466034788931053e-264,3.2137632461101542e-260,0.847457627118644,Significant
Mycbp2,33.98207,1.6094828,4.099833062390321e-253,1.3732270259151015e-249,0.7975081378381412,Significant
Fam13a,32.898914,2.2116344,2.2779011922029683e-237,6.826630093959433e-234,0.7939162644516781,Significant
Sgcd,32.85999,1.8687276,8.201429911455831e-237,2.3349881029410324e-233,0.7783140644292289,Significant
Ebf1,32.173862,1.6230586,4.0966094257293723e-227,1.1107858919545534e-223,0.9007744976989561,Significant
Auts2,30.567484,1.5894397,3.3121371485495532e-205,7.858183390648338e-202,0.8305084745762712,Significant
Ghr,30.181288,1.3698022,4.1696405048928205e-200,9.496939999564084e-197,0.9747446402514311,Significant
Lpgat1,28.95788,1.9980999,2.2331505055280773e-184,4.384752515009457e-181,0.6442922886968234,Significant
Slc1a3,28.868671,1.9110678,2.9541670539093063e-183,5.607107540554994e-180,0.7038949377034459,Significant
Lrmda,28.139124,1.2610016,3.2559069267112154e-174,5.980470848834301e-171,0.9031316646088225,Significant
Zfand3,28.077976,1.1195045,1.819896591181458e-173,3.2383353687019817e-170,0.8178246716803232,Significant
Utrn,28.059975,1.2194005,3.018404337018485e-173,5.20821095012635e-170,0.8296105062296554,Significant
Sik2,27.702608,1.4886729,6.49500167298274e-169,1.0566625436037434e-165,0.8403861263890448,Significant
Ccdc80,27.615166,1.8321295,7.316695341109447e-168,1.1572776372725363e-164,0.6422718599169379,Significant
Sorbs1,27.50643,1.4264078,1.4707696526820784e-166,2.2634349944154117e-163,0.851722976765069,Significant
Fry,27.229002,1.4268954,2.946655495746382e-163,4.415408173244599e-160,0.8123246155573016,Significant
Smoc1,26.712898,1.8604076,3.333671909123976e-157,4.8672464660879055e-154,0.6228532944213716,Significant
Aldh1a1,26.428413,1.8600714,6.46186051892301e-154,9.198619995199878e-151,0.6181389606016388,Significant
Pik3r1,26.422028,1.417792,7.651786415064982e-154,1.0626838299029638e-150,0.7603546974969132,Significant
Slc7a10,26.036552,2.2178006,1.9105348516265276e-149,2.5299480229410725e-146,0.5339544281064093,Significant
Camk1d,25.44478,1.2211308,8.064005208029916e-143,1.0435739103418898e-139,0.8779885509035806,Significant
Acss3,25.379425,1.4573361,4.255531991164255e-142,5.384761046864085e-139,0.7267931305421483,Significant
Cachd1,25.171131,1.6498098,8.297474216517247e-140,1.0052478284312948e-136,0.6570883376360983,Significant
Mageb18,24.782227,3.9877737,1.393822898040651e-135,1.6534514507777648e-132,0.38870804804130654,Significant
Dlc1,24.727331,1.2961355,5.436823824373106e-135,6.317922150686307e-132,0.7911101133685038,Significant
Gm4876,24.361929,1.8090342,4.3333950299056136e-131,4.93495692795711e-128,0.5920978785497811,Significant
Arhgap24,24.158808,1.537073,6.03347033265684e-129,6.606766042534867e-126,0.6610169491525424,Significant
Tns1,24.15284,1.2513968,6.970923489660131e-129,7.489270838202594e-126,0.7805589852957683,Significant
Tshr,23.931923,1.5571241,1.4254733027741523e-126,1.4757795515138729e-123,0.6720170613985857,Significant
Art3,23.658611,1.7122301,9.624691204571299e-124,9.61472880490341e-121,0.5891794814232798,Significant
Ptprm,22.923359,1.2617779,2.717809409478651e-116,2.5369636981167844e-113,0.744976989561118,Significant
Celf2,22.891876,1.0081084,5.598031369583549e-116,5.14125006799124e-113,0.9005500056123021,Significant
Asph,22.506557,1.3347895,3.580196755276313e-112,3.2358727530506116e-109,0.6658435290156022,Significant
Bmper,22.307383,2.2328308,3.133003527450834e-110,2.7874430290090304e-107,0.4600965315972612,Significant
Gm54318,22.144201,3.3601632,1.1864326069017002e-108,1.0393332164552264e-105,0.3635649343360646,Significant
Ctdspl,21.780344,1.3762028,3.563862306612719e-105,3.028804232848281e-102,0.6210573577281401,Significant
Gnai1,21.397032,1.6201799,1.4238796716435441e-101,1.1582447483293578e-98,0.5402402065327198,Significant
Rock2,20.530403,1.022637,1.1521557868751773e-93,8.986972967186228e-91,0.7073745650465821,Significant
Pde3b,20.421482,1.0195191,1.0774697114566454e-92,8.290838221628764e-90,0.8128858457739365,Significant
Bnip3,20.382603,1.9682361,2.3862045774157667e-92,1.8116383312350823e-89,0.4468514984846784,Significant
Trabd2b,20.337904,1.7933923,5.941522200339033e-92,4.4515291527566435e-89,0.4843416769558873,Significant
Abca1,20.103111,1.055016,6.930995385093408e-90,5.125426080813036e-87,0.6932315635873836,Significant
Acvr1c,19.337828,1.1598839,2.5812382315032462e-83,1.7497415016669802e-80,0.6960377146705579,Significant
4933406I18Rik,18.77768,1.2424319,1.1499725324264683e-78,7.440975678283584e-76,0.580536536087103,Significant
Prkar2b,18.575521,1.1907635,5.071064917807035e-77,3.1386033422266345e-74,0.6195981591648895,Significant
Fkbp5,18.493889,1.4763254,2.312630074601536e-76,1.415951280407377e-73,0.5136378942642272,Significant
Bckdhb,18.285313,1.0370421,1.0834038325634253e-74,6.426051836457708e-72,0.6520372656863845,Significant
Prr16,18.256447,1.3104973,1.8387506554245427e-74,1.0793845471188546e-71,0.5492198899988775,Significant
Tead1,17.925524,1.1039578,7.454495171810713e-72,4.081407784404556e-69,0.621618587944775,Significant
Negr1,17.44254,1.1090609,3.922485195638625e-68,2.068057680785731e-65,0.6735885060051633,Significant
Ank2,16.668318,1.241033,2.2277498676496166e-62,1.06596895137678e-59,0.5209338870804804,Significant
Gm54867,16.617666,4.2530074,5.191508558154263e-62,2.423030236146409e-59,0.2464923111460321,Significant
Prkd1,16.4808,1.0701556,5.041336660232745e-61,2.2603051241756907e-58,0.5759344483106971,Significant
Rbms3,16.475212,1.0124868,5.529381773172227e-61,2.459754121454686e-58,0.6455269951734202,Significant
Por,16.333578,1.1461884,5.694455649246943e-60,2.475175565830307e-57,0.5329442137164665,Significant
Tln2,16.220818,1.4613606,3.593838336865166e-59,1.5386221709732288e-56,0.4346166797620384,Significant
Scara5,16.09105,2.3537788,2.9479918101135033e-58,1.2342764827917132e-55,0.3160848580087552,Significant
Hip1,16.07057,1.2751693,4.1029851817473855e-58,1.7053144469626123e-55,0.5007295992816253,Significant
Atosa,16.063194,1.0466423,4.621296482019382e-58,1.906820601323664e-55,0.5851386238635088,Significant
Lgr4,15.867863,1.5027703,1.0578152845301024e-56,4.2718482352076993e-54,0.42159613873610957,Significant
Pdzrn3,15.743317,1.075235,7.633602849513649e-56,3.0185068045427545e-53,0.5601077562015939,Significant
Scn7a,15.280052,1.3924642,1.0385694998195176e-52,3.9957558033258885e-50,0.42440228981928385,Significant
Nnat,15.199538,1.5535226,3.561242527235493e-52,1.3518714049554415e-49,0.3864631271747671,Significant
Tom1l2,15.061546,1.24601,2.8992404776699896e-51,1.0650687228323025e-48,0.4579638567740487,Significant
Aff1,15.017507,1.021451,5.638885596575776e-51,2.045119648118607e-48,0.5340666741497362,Significant
Pid1,15.004903,1.0018494,6.819038896530577e-51,2.457486669666757e-48,0.6724660455718936,Significant
Ranbp9,14.92457,1.0181509,2.2810137624053835e-50,8.017481768217589e-48,0.5388932540127961,Significant
Abcd2,14.839272,1.0348059,8.16377288682747e-50,2.8003216382460416e-47,0.5234033000336739,Significant
Pde4d,14.777881,1.084379,2.034669317048553e-49,6.896196760837004e-47,0.534964642496352,Significant
Adgrg2,14.724822,1.3799696,4.466452465219551e-49,1.4700824845206152e-46,0.43012683802895946,Significant
Ctcflos,14.699281,1.1053234,6.5147964383271284e-49,2.1197658513987717e-46,0.514199124480862,Significant
4931428L18Rik,14.395976,1.5857489,5.484491044817317e-47,1.7158923328733126e-44,0.36805477606914355,Significant
Slc24a3,14.363141,1.0192702,8.814018390794458e-47,2.7276033760338437e-44,0.5202604108205185,Significant
Fggy,13.949486,1.0875916,3.168821999161594e-44,8.976910122102503e-42,0.4723313503199012,Significant
Snrk,13.636077,1.105624,2.4435786669611327e-42,6.563198720539333e-40,0.4597597934672803,Significant
Egfr,13.517899,1.066489,1.2262923824139168e-41,3.278230729907551e-39,0.4879335503423504,Significant
Pabpn1,13.142044,1.676879,1.8905095735117564e-39,4.893068437515133e-37,0.3176563026153328,Significant
Osbpl1a,12.888529,1.2201691,5.223054870221487e-38,1.2930694233273115e-35,0.399259176114042,Significant
Adamts5,12.876062,1.329308,6.138873142239822e-38,1.5132189419579123e-35,0.37557526097205074,Significant
Apex2,12.823547,1.2651637,1.2103415734104132e-37,2.957856632255894e-35,0.39106521495117297,Significant
Hexb,12.585258,1.2632827,2.5451041914421388e-36,5.939376137906017e-34,0.36423841059602646,Significant
Lhfpl2,12.508176,1.2422705,6.735343415866111e-36,1.5402296764772378e-33,0.38915703221461445,Significant
Naaladl2,11.989564,1.1093688,4.0301936552546456e-33,8.627190109919353e-31,0.38522842069817037,Significant
Snta1,11.283216,1.6054378,1.5883056965744827e-29,2.955546231001556e-27,0.2809518464474127,Significant
Col15a1,11.124871,1.3599956,9.494253202885248e-29,1.7037129240491183e-26,0.3204624536985071,Significant
Col5a3,11.04506,1.1298836,2.316118039788838e-28,4.095716686447709e-26,0.3710854192389718,Significant
Pde1a,10.967019,1.0453068,5.50576603129531e-28,9.55804340207275e-26,0.3872488494780559,Significant
2310014F06Rik,10.518277,2.4513283,7.116274391889762e-26,1.13503579873556e-23,0.19654282186552924,Significant
Kirrel,10.4296465,1.192967,1.8156259164049152e-25,2.8480318266119084e-23,0.3214726680884499,Significant
Gm34907,10.342948,2.6420088,4.5046125793738235e-25,6.913669673372638e-23,0.18587944774946683,Significant
Itih5,10.008537,1.0448338,1.3980364817937675e-23,1.9901398827454726e-21,0.35537097317319566,Significant
Nav3,9.886664,1.0208274,4.7561256858025735e-23,6.573265841633115e-21,0.37355483219216523,Significant
Emp1,9.794382,1.6208348,1.1902248835881842e-22,1.6098003585841995e-20,0.23470647659669996,Significant
Gm31517,8.983648,2.8124952,2.6193296502611056e-19,2.9359694806204255e-17,0.15658323044112696,Significant
Niban2,8.956952,2.0356185,3.337754826025516e-19,3.6903902436644454e-17,0.18509372544617803,Significant
Shb,8.941046,1.3122901,3.855045937815026e-19,4.2213494374062573e-17,0.25547199461218995,Significant
Abhd5,8.771234,1.1831688,1.7671911534990662e-18,1.8599931880109118e-16,0.2858906723537995,Significant
Macrod2,8.689467,1.0963646,3.641418154508371e-18,3.7427074212249306e-16,0.3025030867661915,Significant
Il1r1,8.605547,1.1315013,7.595397559134766e-18,7.600870516954178e-16,0.2883600853069929,Significant
Dcun1d3,8.472147,1.0173483,2.4091164239370405e-17,2.3289897843021906e-15,0.31339095296890784,Significant
Ppp4r1l-ps,8.377524,1.1750017,5.40523822524182e-17,5.062165621439054e-15,0.2678190593781569,Significant
Chst1,8.165902,1.0217743,3.1904171448684987e-16,2.7862813289257234e-14,0.3020541025928836,Significant
Gm30173,7.6597395,1.4618878,1.8631088195389794e-14,1.4069930940765122e-12,0.21337972836457514,Significant
Shroom3,7.581024,1.0014122,3.428377197506064e-14,2.522160542676909e-12,0.2727578852845437,Significant
Gm36638,7.0874505,1.652192,1.3660525943306797e-12,8.473246271653947e-11,0.16601189808059266,Significant
Sybu,6.753499,1.4025397,1.4432165524201978e-11,8.04879468279711e-10,0.18284880457963856,Significant
Plagl1,6.7247515,1.1839858,1.758926229277226e-11,9.676813374036185e-10,0.21708384779436524,Significant
Slc2a3,6.7159796,1.0938301,1.8680686118008483e-11,1.0247562121825828e-09,0.234481984510046,Significant
Usp35,6.547941,1.581366,5.833566991193414e-11,3.000624553256948e-09,0.1674710966438433,Significant
St6galnac5,6.4309626,1.5105236,1.267983156206596e-10,6.208102226789319e-09,0.17544056572005837,Significant
Palm,6.327621,1.0613979,2.489696719291224e-10,1.1823671467319565e-08,0.2078796722415535,Significant
Zfp804b,6.1581717,4.262701,7.358946340738932e-10,3.2736387780313714e-08,0.09080704905152093,Significant
Rxra,6.097496,1.1536603,1.0774270035555527e-09,4.676049619623226e-08,0.19822651251543383,Significant
Gfod2,6.088702,1.1459599,1.138295409853915e-09,4.914001435367079e-08,0.2110225614547087,Significant
Klhdc8b,6.031089,1.7235487,1.6285874315635252e-09,6.869140514122866e-08,0.13929733976877315,Significant
Slc5a3,6.0256977,1.1039513,1.6838172639797689e-09,7.081110696327328e-08,0.2061959815916489,Significant
Or5m3b,5.7493153,1.2039793,8.960559976362813e-09,3.412864519157692e-07,0.17229767650690314,Significant
Dcdc2a,5.66455,1.1138034,1.4741091304499841e-08,5.422302842180398e-07,0.15209338870804803,Significant
1700087I21Rik,5.6183925,1.1751631,1.9274233686900994e-08,7.003791578594955e-07,0.18307329666629252,Significant
Pkhd1,5.078128,1.1870862,3.8117202881684757e-07,1.1405316076121975e-05,0.12784824334942194,Significant
Gm5627,4.9809475,2.7392015,6.32736881633414e-07,1.8168769932974397e-05,0.08912335840161634,Significant
Gm12122,4.574242,2.392169,4.779467315411072e-06,0.00011832506452470513,0.08328656414861377,Significant
Gm42906,4.502251,2.2876027,6.723747440531877e-06,0.000162987187318572,0.08250084184532495,Significant
Gm38034,4.454498,2.4191146,8.40898214470208e-06,0.0001999231116081341,0.07924570658884274,Significant
A230057D06Rik,4.3624825,2.6433253,1.2859482671470856e-05,0.00029549306004690156,0.07565383320237962,Significant
Adam28,4.2307305,6.925243,2.329337710253315e-05,0.0005081793814541533,0.05892917274666068,Significant
Gm10687,4.1874795,1.260435,2.820695895430606e-05,0.0006083835037186141,0.13503199012234818,Significant
Rtn4rl1,4.1144,1.0365155,3.88188213633001e-05,0.0008078883432922774,0.15647098439779997,Significant
4930511M06Rik,4.1084013,1.2995738,3.9840719352161325e-05,0.0008273415027831575,0.11000112246043327,Significant
Grb14,4.0855117,1.7953467,4.397982353685965e-05,0.0009027596005812276,0.08654169940509597,Significant
A330093E20Rik,3.9813256,5.84844,6.853197696332805e-05,0.0013573145392239523,0.0567964979234482,Significant
Mindy4,3.945632,1.3538504,7.95898076364066e-05,0.0015541574885543992,0.10786844763722078,Significant
Gjc1,3.8782728,1.0316944,0.00010520068882153236,0.002001414106978575,0.12762375126276798,Significant
Gm47121,3.8330262,3.7431138,0.00012657647562961888,0.0023691926950476934,0.05915366483331463,Significant
Galm,3.7391486,1.074242,0.0001846445619098277,0.003343035294024642,0.14434841171848692,Significant
Fgf13,3.4296014,1.1111218,0.0006044685595572445,0.009859365296404772,0.08990908070490515,Significant
Scart1,3.3053138,2.9714282,0.0009487013707758961,0.01466341062794525,0.05421483892692783,Significant
Gm48099,3.1675224,1.2609513,0.0015374384040599699,0.02243548953500224,0.0847457627118644,Significant
Hif3a,3.1115787,1.7910646,0.0018608983135713626,0.026496976962507364,0.06656190369289483,Significant
Cnksr2,3.0518212,7.735668,0.0022745746735494793,0.03153556281630896,0.04231675833426872,Significant
Gm48225,2.9969883,1.1001918,0.0027266107829701136,0.03692174663331777,0.10719497137725895,Significant
Igf1os,2.9497979,1.5553085,0.0031798192216815754,0.042333899065178995,0.07397014255247503,Significant
Sh2d4b,2.9404783,1.9924848,0.0032770605268735756,0.043445658547312756,0.05769446627006398,Significant
Lcn8,2.9281557,26.662437,0.003409792351021955,0.04494374681933823,0.040184083511056234,Significant
Acrbp,-2.8890963,-1.5310268,0.0038635085090489188,0.04997530366290539,0.016612414412391963,Significant
Cct5,-2.890444,-1.4706944,0.003846980894041526,0.049772992294391846,0.018408351105623527,Significant
Manea,-2.8926287,-1.0024154,0.0038203280251598395,0.04945062470575731,0.03445953530138063,Significant
Hmgcs2,-2.894791,-1.3345203,0.003794111546058005,0.0491559739576994,0.024806375575260973,Significant
Sec11c,-2.89692,-1.3163179,0.003768458921977281,0.0488550746523904,0.025704343921876753,Significant
Trim3,-2.8972902,-1.0425564,0.003764013721059088,0.04881045440465168,0.03221461443484117,Significant
Elof1,-2.9011261,-2.7342803,0.003718241076298318,0.04826085368714441,0.006285778426310473,Significant
Irak4,-2.906947,-1.3610511,0.003649752683935804,0.04743678785117293,0.02278594679537546,Significant
Commd4,-2.907902,-2.4324849,0.0036386224495991667,0.04730292258050825,0.007969469076215064,Significant
Cd180,-2.9079614,-1.3161603,0.003637933220044337,0.04730292258050825,0.027500280615108317,Significant
Fkbp2,-2.909324,-2.410178,0.003622113672536156,0.04713134703562186,0.008418453249522954,Significant
Kctd12,-2.909435,-1.0028262,0.003620826797564082,0.04713095345482366,0.03715344034122797,Significant
C730002L08Rik,-2.9106236,-1.1894681,0.0036070832400136275,0.04698244042086484,0.02188797844875968,Significant
2010004M13Rik,-2.911338,-3.4025242,0.0035988428361223646,0.046918759145736684,0.003928611516444046,Significant
Uqcrc1,-2.9115973,-1.2250891,0.0035958583224969783,0.04689687786103996,0.028622741048378045,Significant
Ocel1,-2.911601,-2.7401166,0.003595815702902844,0.04689687786103996,0.006622516556291391,Significant
Il10ra,-2.911753,-1.3402481,0.003594068695094188,0.04689501960755229,0.026490066225165563,Significant
Atp1b1,-2.9133968,-1.0819845,0.0035751992672289623,0.04670232197184775,0.03255135256482209,Significant
Cd52,-2.913534,-3.929057,0.0035736308899124588,0.04669254623738075,0.0030306431698282634,Significant
Psmd8,-2.9141188,-1.3806353,0.0035669405352095587,0.04662652915871614,0.020765518015489953,Significant
Ero1b,-2.9141781,-1.3595992,0.0035662636666757325,0.04662652915871614,0.023122684925356383,Significant
Lamtor4,-2.9143374,-1.9429033,0.0035644451614285136,0.046615312801309365,0.01189808059265911,Significant
Med8,-2.9145966,-1.1063801,0.0035614866083539887,0.04659802595732639,0.028286002918397127,Significant
Atp13a1,-2.9162369,-1.4237725,0.0035428149412654523,0.04640704521982887,0.021775732405432707,Significant
Cnn3,-2.9203134,-1.3448477,0.003496794840341082,0.04588868287712873,0.0234594230553373,Significant
Prdx2,-2.920532,-2.0744805,0.003494344156889706,0.04586709327742203,0.01189808059265911,Significant
Tlcd3b,-2.9205801,-2.1118307,0.003493804385966421,0.04586709327742203,0.009540913682792682,Significant
Stk26,-2.921728,-2.179273,0.003480955382087014,0.04572297125984237,0.011000112246043327,Significant
Rcn2,-2.9218056,-1.062291,0.003480086522920843,0.04572210583794087,0.03232686047816814,Significant
2300009A05Rik,-2.9219909,-1.611767,0.0034780186049592015,0.04570548289521853,0.0148164777191604,Significant
Fndc1,-2.9220204,-1.7034843,0.0034776878418826635,0.04570548289521853,0.015826692109103153,Significant
Tor1a,-2.922024,-1.5760455,0.003477646498511028,0.04570548289521853,0.015714446065776183,Significant
Tmed4,-2.923457,-1.6892412,0.003461680155133242,0.04552229323636073,0.015826692109103153,Significant
Gm56596,-2.9235015,-1.3462756,0.0034611861428873176,0.04552229323636073,0.0209900101021439,Significant
Ly96,-2.9235532,-1.2063439,0.0034606098763660924,0.04552229323636073,0.02604108205185767,Significant
Gm43481,-2.924179,-1.3684258,0.003453660402458155,0.04545882500609565,0.019194073408912337,Significant
Zscan29,-2.9255638,-1.0520979,0.0034383262316292932,0.04529887412198139,0.027051296441800425,Significant
Lrrc14,-2.9278743,-2.059794,0.003412879849506494,0.04497403182382533,0.0098776518127736,Significant
Ica1,-2.9287481,-1.224569,0.003403300664372324,0.04487658484294208,0.031765630261533284,Significant
Trim30d,-2.9301922,-1.4399195,0.003387524290728981,0.044701974655480634,0.022561454708721517,Significant
Os9,-2.9336467,-1.0393895,0.0033500521832041117,0.044289603288559395,0.0382759007744977,Significant
Lemd2,-2.9372458,-1.2527311,0.0033114155338418547,0.04381950079304881,0.02357166909866427,Significant
Gm56555,-2.9376752,-1.0504858,0.003306831786494909,0.043779192921368656,0.03300033673812998,Significant
Gale,-2.9391046,-1.9287639,0.003291620552881376,0.04359054933231438,0.010102143899427546,Significant
Tomm7,-2.9398081,-2.42162,0.003284156590380489,0.043519469493333816,0.00942866763946571,Significant
Arpc5l,-2.940778,-1.1110295,0.0032738894667085285,0.043423067431011236,0.02884723313503199,Significant
Ccdc106,-2.941652,-1.7093107,0.003264666259003871,0.04331159400138384,0.014591985632506453,Significant
4930512B01Rik,-2.9425776,-3.737703,0.0032549217371593696,0.043222597629568954,0.002581658996520373,Significant
Fkbp3,-2.9428701,-1.1755946,0.003251847982728799,0.043191853507012025,0.027500280615108317,Significant
Tfe3,-2.9445994,-1.3846893,0.0032337317751356446,0.04297127678132993,0.0222247165787406,Significant
Tmem258,-2.9454286,-3.525795,0.0032250748777990653,0.04287625230370221,0.003928611516444046,Significant
