names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,Significant
Mir6236,60.300415,2.3662415,0.0,0.0,0.9996632618700191,Significant
Taco1,57.679947,4.9876246,0.0,0.0,0.8506005163317993,Significant
Rn18s-rs5,56.963028,1.5807573,0.0,0.0,1.0,Significant
Zbtb16,43.978218,2.416152,0.0,0.0,0.851722976765069,Significant
Slit3,40.52428,2.5609925,0.0,0.0,0.8341003479627344,Significant
Eepd1,39.89979,2.8810608,0.0,0.0,0.7291502974520148,Significant
Npr3,39.31668,3.362237,0.0,0.0,0.6776293635649343,Significant
Dapk1,37.295063,2.1698287,1.9730385965081965e-304,8.642060824905633e-301,0.7746099449994388,Significant
Tenm4,34.69793,2.1606784,8.466034788931053e-264,3.2137632461101542e-260,0.847457627118644,Significant
Mycbp2,33.98207,1.6094828,4.099833062390321e-253,1.3732270259151015e-249,0.7975081378381412,Significant
Fam13a,32.898914,2.2116344,2.2779011922029683e-237,6.826630093959433e-234,0.7939162644516781,Significant
Sgcd,32.85999,1.8687276,8.201429911455831e-237,2.3349881029410324e-233,0.7783140644292289,Significant
Ebf1,32.173862,1.6230586,4.0966094257293723e-227,1.1107858919545534e-223,0.9007744976989561,Significant
Auts2,30.567484,1.5894397,3.3121371485495532e-205,7.858183390648338e-202,0.8305084745762712,Significant
Ghr,30.181288,1.3698022,4.1696405048928205e-200,9.496939999564084e-197,0.9747446402514311,Significant
Lpgat1,28.95788,1.9980999,2.2331505055280773e-184,4.384752515009457e-181,0.6442922886968234,Significant
Slc1a3,28.868671,1.9110678,2.9541670539093063e-183,5.607107540554994e-180,0.7038949377034459,Significant
Lrmda,28.139124,1.2610016,3.2559069267112154e-174,5.980470848834301e-171,0.9031316646088225,Significant
Zfand3,28.077976,1.1195045,1.819896591181458e-173,3.2383353687019817e-170,0.8178246716803232,Significant
Utrn,28.059975,1.2194005,3.018404337018485e-173,5.20821095012635e-170,0.8296105062296554,Significant
Sik2,27.702608,1.4886729,6.49500167298274e-169,1.0566625436037434e-165,0.8403861263890448,Significant
Ccdc80,27.615166,1.8321295,7.316695341109447e-168,1.1572776372725363e-164,0.6422718599169379,Significant
Sorbs1,27.50643,1.4264078,1.4707696526820784e-166,2.2634349944154117e-163,0.851722976765069,Significant
Fry,27.229002,1.4268954,2.946655495746382e-163,4.415408173244599e-160,0.8123246155573016,Significant
Smoc1,26.712898,1.8604076,3.333671909123976e-157,4.8672464660879055e-154,0.6228532944213716,Significant
Aldh1a1,26.428413,1.8600714,6.46186051892301e-154,9.198619995199878e-151,0.6181389606016388,Significant
Pik3r1,26.422028,1.417792,7.651786415064982e-154,1.0626838299029638e-150,0.7603546974969132,Significant
Slc7a10,26.036552,2.2178006,1.9105348516265276e-149,2.5299480229410725e-146,0.5339544281064093,Significant
Camk1d,25.44478,1.2211308,8.064005208029916e-143,1.0435739103418898e-139,0.8779885509035806,Significant
Acss3,25.379425,1.4573361,4.255531991164255e-142,5.384761046864085e-139,0.7267931305421483,Significant
Cachd1,25.171131,1.6498098,8.297474216517247e-140,1.0052478284312948e-136,0.6570883376360983,Significant
Mageb18,24.782227,3.9877737,1.393822898040651e-135,1.6534514507777648e-132,0.38870804804130654,Significant
Dlc1,24.727331,1.2961355,5.436823824373106e-135,6.317922150686307e-132,0.7911101133685038,Significant
Gm4876,24.361929,1.8090342,4.3333950299056136e-131,4.93495692795711e-128,0.5920978785497811,Significant
Arhgap24,24.158808,1.537073,6.03347033265684e-129,6.606766042534867e-126,0.6610169491525424,Significant
Tns1,24.15284,1.2513968,6.970923489660131e-129,7.489270838202594e-126,0.7805589852957683,Significant
Tshr,23.931923,1.5571241,1.4254733027741523e-126,1.4757795515138729e-123,0.6720170613985857,Significant
Art3,23.658611,1.7122301,9.624691204571299e-124,9.61472880490341e-121,0.5891794814232798,Significant
Nfia,23.045773,0.9592584,1.621692772762903e-117,1.5390134695648743e-114,0.8984173307890897,Not Sig
Ptprm,22.923359,1.2617779,2.717809409478651e-116,2.5369636981167844e-113,0.744976989561118,Significant
Celf2,22.891876,1.0081084,5.598031369583549e-116,5.14125006799124e-113,0.9005500056123021,Significant
Asph,22.506557,1.3347895,3.580196755276313e-112,3.2358727530506116e-109,0.6658435290156022,Significant
Bmper,22.307383,2.2328308,3.133003527450834e-110,2.7874430290090304e-107,0.4600965315972612,Significant
Gm54318,22.144201,3.3601632,1.1864326069017002e-108,1.0393332164552264e-105,0.3635649343360646,Significant
Ctdspl,21.780344,1.3762028,3.563862306612719e-105,3.028804232848281e-102,0.6210573577281401,Significant
Gnai1,21.397032,1.6201799,1.4238796716435441e-101,1.1582447483293578e-98,0.5402402065327198,Significant
Rock2,20.530403,1.022637,1.1521557868751773e-93,8.986972967186228e-91,0.7073745650465821,Significant
Pde3b,20.421482,1.0195191,1.0774697114566454e-92,8.290838221628764e-90,0.8128858457739365,Significant
Bnip3,20.382603,1.9682361,2.3862045774157667e-92,1.8116383312350823e-89,0.4468514984846784,Significant
Trabd2b,20.337904,1.7933923,5.941522200339033e-92,4.4515291527566435e-89,0.4843416769558873,Significant
Abca1,20.103111,1.055016,6.930995385093408e-90,5.125426080813036e-87,0.6932315635873836,Significant
Fndc3b,19.792313,0.9659295,3.467642110843881e-87,2.499379866247613e-84,0.703558199573465,Not Sig
Acvr1c,19.337828,1.1598839,2.5812382315032462e-83,1.7497415016669802e-80,0.6960377146705579,Significant
Rora,18.915205,0.9881102,8.548880482526518e-80,5.59519314431658e-77,0.7721405320462453,Not Sig
4933406I18Rik,18.77768,1.2424319,1.1499725324264683e-78,7.440975678283584e-76,0.580536536087103,Significant
Prkar2b,18.575521,1.1907635,5.071064917807035e-77,3.1386033422266345e-74,0.6195981591648895,Significant
Fkbp5,18.493889,1.4763254,2.312630074601536e-76,1.415951280407377e-73,0.5136378942642272,Significant
Bckdhb,18.285313,1.0370421,1.0834038325634253e-74,6.426051836457708e-72,0.6520372656863845,Significant
Prr16,18.256447,1.3104973,1.8387506554245427e-74,1.0793845471188546e-71,0.5492198899988775,Significant
Atrnl1,18.125635,0.9394277,2.0002084990967833e-73,1.1504431530007064e-70,0.6787518239982041,Not Sig
Zeb2,18.05491,0.9905648,7.217926789319439e-73,3.990252129229497e-70,0.8602536760579189,Not Sig
Tead1,17.925524,1.1039578,7.454495171810713e-72,4.081407784404556e-69,0.621618587944775,Significant
Negr1,17.44254,1.1090609,3.922485195638625e-68,2.068057680785731e-65,0.6735885060051633,Significant
Tshz2,17.435278,0.9418722,4.453819424227858e-68,2.3266507507794357e-65,0.7740487147828039,Not Sig
Rps6ka3,17.360933,0.9833365,1.6305243569818378e-67,8.440335219172985e-65,0.6316084858008755,Not Sig
Ank2,16.668318,1.241033,2.2277498676496166e-62,1.06596895137678e-59,0.5209338870804804,Significant
Ahnak,16.633512,0.9243691,3.985269046059935e-62,1.8754149153032958e-59,0.6325064541474913,Not Sig
Gm54867,16.617666,4.2530074,5.191508558154263e-62,2.423030236146409e-59,0.2464923111460321,Significant
Mir99ahg,16.594276,0.7741206,7.6662911958694755e-62,3.520373282129063e-59,0.7651812773599731,Not Sig
Dst,16.5239,0.76253927,2.469070222141033e-61,1.1158041866581949e-58,0.7278033449320911,Not Sig
Prkd1,16.4808,1.0701556,5.041336660232745e-61,2.2603051241756907e-58,0.5759344483106971,Significant
Rbms3,16.475212,1.0124868,5.529381773172227e-61,2.459754121454686e-58,0.6455269951734202,Significant
Por,16.333578,1.1461884,5.694455649246943e-60,2.475175565830307e-57,0.5329442137164665,Significant
Tln2,16.220818,1.4613606,3.593838336865166e-59,1.5386221709732288e-56,0.4346166797620384,Significant
Scara5,16.09105,2.3537788,2.9479918101135033e-58,1.2342764827917132e-55,0.3160848580087552,Significant
Hip1,16.07057,1.2751693,4.1029851817473855e-58,1.7053144469626123e-55,0.5007295992816253,Significant
Atosa,16.063194,1.0466423,4.621296482019382e-58,1.906820601323664e-55,0.5851386238635088,Significant
Lgr4,15.867863,1.5027703,1.0578152845301024e-56,4.2718482352076993e-54,0.42159613873610957,Significant
Pdzrn3,15.743317,1.075235,7.633602849513649e-56,3.0185068045427545e-53,0.5601077562015939,Significant
Cdk8,15.403196,0.9335593,1.5577583042513997e-53,6.117263144991653e-51,0.5911999102031653,Not Sig
Pparg,15.334293,0.90558815,4.511579703245303e-53,1.7595469854965122e-50,0.6696598944887193,Not Sig
Scn7a,15.280052,1.3924642,1.0385694998195176e-52,3.9957558033258885e-50,0.42440228981928385,Significant
Tcf7l2,15.2144375,0.85556656,2.836470846272863e-52,1.0839697077692825e-49,0.633628914580761,Not Sig
Nnat,15.199538,1.5535226,3.561242527235493e-52,1.3518714049554415e-49,0.3864631271747671,Significant
Tom1l2,15.061546,1.24601,2.8992404776699896e-51,1.0650687228323025e-48,0.4579638567740487,Significant
Aff1,15.017507,1.021451,5.638885596575776e-51,2.045119648118607e-48,0.5340666741497362,Significant
Pid1,15.004903,1.0018494,6.819038896530577e-51,2.457486669666757e-48,0.6724660455718936,Significant
Ranbp9,14.92457,1.0181509,2.2810137624053835e-50,8.017481768217589e-48,0.5388932540127961,Significant
Sh3pxd2a,14.884966,0.856009,4.1269519183129202e-50,1.432882738906439e-47,0.6325064541474913,Not Sig
Pdzd2,14.86308,0.93749005,5.7232561521503e-50,1.9750783549066076e-47,0.6221798181614098,Not Sig
Abcd2,14.839272,1.0348059,8.16377288682747e-50,2.8003216382460416e-47,0.5234033000336739,Significant
Pde4d,14.777881,1.084379,2.034669317048553e-49,6.896196760837004e-47,0.534964642496352,Significant
Foxo1,14.770758,0.98025846,2.26157753347397e-49,7.575087431384783e-47,0.5451790324391065,Not Sig
Ophn1,14.731116,0.8339202,4.069275859522301e-49,1.3471432367270892e-46,0.6261084296778539,Not Sig
Adgrg2,14.724822,1.3799696,4.466452465219551e-49,1.4700824845206152e-46,0.43012683802895946,Significant
Tacc1,14.709982,0.93135536,5.562260534510544e-49,1.8202337764112922e-46,0.5849141317768549,Not Sig
Ctcflos,14.699281,1.1053234,6.5147964383271284e-49,2.1197658513987717e-46,0.514199124480862,Significant
Gphn,14.647525,0.5409558,1.3971329636517573e-48,4.494584637474277e-46,0.835335054439331,Not Sig
4931428L18Rik,14.395976,1.5857489,5.484491044817317e-47,1.7158923328733126e-44,0.36805477606914355,Significant
Slc24a3,14.363141,1.0192702,8.814018390794458e-47,2.7276033760338437e-44,0.5202604108205185,Significant
Sptbn1,14.295452,0.65783376,2.3358291064353154e-46,7.000233955238595e-44,0.7227522729823773,Not Sig
Zbtb20,14.173142,0.4350755,1.3435220051466624e-45,3.984452421617505e-43,0.96699966326187,Not Sig
Adamts12,14.111478,0.95907396,3.227436770067399e-45,9.424280878174759e-43,0.6121899203053093,Not Sig
Ube2e2,14.046196,0.7905637,8.128462748689971e-45,2.3494558242292163e-42,0.6387922325738018,Not Sig
Sntb1,13.959387,0.9387996,2.7579711937798505e-44,7.852081887250922e-42,0.5689751936244247,Not Sig
Fggy,13.949486,1.0875916,3.168821999161594e-44,8.976910122102503e-42,0.4723313503199012,Significant
Neat1,13.661888,0.43896303,1.7147955167245728e-42,4.649627215133995e-40,0.9270400718374677,Not Sig
Snrk,13.636077,1.105624,2.4435786669611327e-42,6.563198720539333e-40,0.4597597934672803,Significant
Egfr,13.517899,1.066489,1.2262923824139168e-41,3.278230729907551e-39,0.4879335503423504,Significant
Pabpn1,13.142044,1.676879,1.8905095735117564e-39,4.893068437515133e-37,0.3176563026153328,Significant
Ankef1,13.11217,0.82667744,2.8045545570344886e-39,7.161172243591965e-37,0.6299247951509709,Not Sig
A530053G22Rik,13.087144,0.94831306,3.899976073581714e-39,9.91377400025966e-37,0.5292400942866764,Not Sig
Sox5,13.081697,0.7562127,4.18977903238896e-39,1.0603120350367102e-36,0.699741834100348,Not Sig
Efna5,13.0061035,0.8107676,1.1295618868949819e-38,2.8086630306413606e-36,0.6235267706813334,Not Sig
Osbpl1a,12.888529,1.2201691,5.223054870221487e-38,1.2930694233273115e-35,0.399259176114042,Significant
Adamts5,12.876062,1.329308,6.138873142239822e-38,1.5132189419579123e-35,0.37557526097205074,Significant
Fhit,12.838269,0.8115944,1.0008747075182459e-37,2.4565002896895015e-35,0.5826692109103154,Not Sig
Apex2,12.823547,1.2651637,1.2103415734104132e-37,2.957856632255894e-35,0.39106521495117297,Significant
Lpin1,12.7937,0.97189915,1.778032628278972e-37,4.2899557579166496e-35,0.4822090021326748,Not Sig
Hexb,12.585258,1.2632827,2.5451041914421388e-36,5.939376137906017e-34,0.36423841059602646,Significant
Lhfpl2,12.508176,1.2422705,6.735343415866111e-36,1.5402296764772378e-33,0.38915703221461445,Significant
Thrb,12.493402,0.7567445,8.110977983100842e-36,1.84738878934298e-33,0.6154450555617914,Not Sig
Agmo,12.232297,0.76198643,2.0894582660036397e-34,4.6294102383079084e-32,0.563924121674711,Not Sig
Cav1,12.006304,0.69574744,3.29232856377619e-33,7.101078816287122e-31,0.5816589965203727,Not Sig
Naaladl2,11.989564,1.1093688,4.0301936552546456e-33,8.627190109919353e-31,0.38522842069817037,Significant
Lars2,11.928941,0.60270786,8.36311799687883e-33,1.7768817233592446e-30,0.6841396340778988,Not Sig
Cdk14,11.887008,0.6810505,1.3827220666999056e-32,2.8863155280204153e-30,0.5944550454596476,Not Sig
Prkn,11.886941,0.6641671,1.3838256074701415e-32,2.8863155280204153e-30,0.6192614210349086,Not Sig
Atp1a2,11.878192,0.9643108,1.5365561151335293e-32,3.1931767062707405e-30,0.45167807834773827,Not Sig
Sox6,11.814468,0.67853934,3.2862021604751183e-32,6.755221560274863e-30,0.6716803232686048,Not Sig
Prkag2,11.672264,0.7912593,1.7665904222163715e-31,3.5797660224705484e-29,0.5133011561342463,Not Sig
Rbfox2,11.631456,0.7134251,2.8518935350328294e-31,5.738150875558457e-29,0.5548321921652262,Not Sig
Gm16168,11.488637,0.91651374,1.5046718672835915e-30,2.954397268792931e-28,0.47311707262319,Not Sig
Nrip1,11.325789,0.6505028,9.77935162663276e-30,1.831730463724e-27,0.7063643506566394,Not Sig
Snta1,11.283216,1.6054378,1.5883056965744827e-29,2.955546231001556e-27,0.2809518464474127,Significant
Col15a1,11.124871,1.3599956,9.494253202885248e-29,1.7037129240491183e-26,0.3204624536985071,Significant
Hacd2,11.103141,0.6625112,1.21111908380682e-28,2.1550728672201294e-26,0.6181389606016388,Not Sig
Col5a3,11.04506,1.1298836,2.316118039788838e-28,4.095716686447709e-26,0.3710854192389718,Significant
Pde1a,10.967019,1.0453068,5.50576603129531e-28,9.55804340207275e-26,0.3872488494780559,Significant
Zfp423,10.755989,0.93636626,5.553506055079122e-27,9.355686043853857e-25,0.42103490851947467,Not Sig
Garre1,10.717063,0.82938796,8.464889257452599e-27,1.4134875636616085e-24,0.4785048827028847,Not Sig
2210408F21Rik,10.707388,0.8603028,9.397622379754485e-27,1.5600875099871724e-24,0.44135144236165674,Not Sig
Trhde,10.593979,0.85862625,3.177914462734374e-26,5.1545788359278235e-24,0.4462902682680436,Not Sig
2310014F06Rik,10.518277,2.4513283,7.116274391889762e-26,1.13503579873556e-23,0.19654282186552924,Significant
Kirrel,10.4296465,1.192967,1.8156259164049152e-25,2.8480318266119084e-23,0.3214726680884499,Significant
Cnnm2,10.380894,0.8881727,3.0292712676135204e-25,4.738728990362128e-23,0.4214838926927826,Not Sig
Gm34907,10.342948,2.6420088,4.5046125793738235e-25,6.913669673372638e-23,0.18587944774946683,Significant
Stim1,10.323031,0.8326738,5.544429440342231e-25,8.441319699532806e-23,0.4572903805140869,Not Sig
Itih5,10.008537,1.0448338,1.3980364817937675e-23,1.9901398827454726e-21,0.35537097317319566,Significant
Adrb3,9.928734,0.6710587,3.121941077704296e-23,4.3357669976965935e-21,0.5501178583454933,Not Sig
Nav3,9.886664,1.0208274,4.7561256858025735e-23,6.573265841633115e-21,0.37355483219216523,Significant
Osbpl11,9.87152,0.7653227,5.531974181775184e-23,7.592510594115523e-21,0.4517903243910652,Not Sig
Peli2,9.859894,0.931987,6.211502167092414e-23,8.502142906163681e-21,0.38376922213491976,Not Sig
Emp1,9.794382,1.6208348,1.1902248835881842e-22,1.6098003585841995e-20,0.23470647659669996,Significant
Rtn3,9.626159,0.517577,6.200400857875848e-22,8.116253453984107e-20,0.5839039173869122,Not Sig
Slc27a1,9.539409,0.6201434,1.436486639533715e-21,1.8339682901724052e-19,0.5147603546974969,Not Sig
Gnaq,9.432724,0.42071345,3.995753051165185e-21,5.022564558198605e-19,0.7185991693792794,Not Sig
Crebrf,9.350543,0.70680183,8.719891856642984e-21,1.0677835746432433e-18,0.45134134021775735,Not Sig
Enpp2,9.335199,0.7402119,1.0080162577409273e-20,1.2317050157087153e-18,0.448535189134583,Not Sig
Tsc22d3,9.291348,0.9977908,1.523460037267492e-20,1.837867330128141e-18,0.34190144797395894,Not Sig
Mical3,9.10824,0.63910985,8.372916473867441e-20,9.670633609299918e-18,0.4819845100460209,Not Sig
Gm31517,8.983648,2.8124952,2.6193296502611056e-19,2.9359694806204255e-17,0.15658323044112696,Significant
Srpk2,8.963595,0.65646654,3.142614085255254e-19,3.501831480010165e-17,0.46357615894039733,Not Sig
Acyp2,8.957597,0.71040964,3.31831550725108e-19,3.676035083626143e-17,0.44337187114154225,Not Sig
Niban2,8.956952,2.0356185,3.337754826025516e-19,3.6903902436644454e-17,0.18509372544617803,Significant
Pafah1b1,8.943071,0.47343916,3.7850188079235145e-19,4.1526542570707674e-17,0.5785161073072175,Not Sig
Shb,8.941046,1.3122901,3.855045937815026e-19,4.2213494374062573e-17,0.25547199461218995,Significant
Abhd5,8.771234,1.1831688,1.7671911534990662e-18,1.8599931880109118e-16,0.2858906723537995,Significant
Ankrd11,8.741339,0.38871843,2.3036488851694248e-18,2.4112513082800036e-16,0.6317207318442025,Not Sig
Esr1,8.733385,0.6321152,2.4716190421424182e-18,2.582320364745531e-16,0.5001683690649905,Not Sig
Klhl2,8.696199,0.6130184,3.4318608378122902e-18,3.5465260973842036e-16,0.485688629475811,Not Sig
Macrod2,8.689467,1.0963646,3.641418154508371e-18,3.7427074212249306e-16,0.3025030867661915,Significant
Pbx1,8.684769,0.4469586,3.795130210294737e-18,3.8866638364099394e-16,0.7129868672129307,Not Sig
Hipk3,8.644895,0.7068967,5.385486885791362e-18,5.456494817862027e-16,0.4350656639353463,Not Sig
Ube2h,8.625208,0.46718597,6.397641880350767e-18,6.447577456797398e-16,0.5848018857335279,Not Sig
Il1r1,8.605547,1.1315013,7.595397559134766e-18,7.600870516954178e-16,0.2883600853069929,Significant
PTPRG,8.533633,0.46793878,1.4182198472321518e-17,1.3971428429281307e-15,0.5888427432932989,Not Sig
Tgfbr3,8.521362,0.5899972,1.5768707369789032e-17,1.5480792523157886e-15,0.5273319115501178,Not Sig
Bcas3,8.502964,0.5114663,1.848102848379953e-17,1.8081241286873354e-15,0.5401279604893927,Not Sig
Dcun1d3,8.472147,1.0173483,2.4091164239370405e-17,2.3289897843021906e-15,0.31339095296890784,Significant
Malat1,8.466037,0.11364947,2.5388310391133763e-17,2.4502301389517754e-15,1.0,Not Sig
Hibadh,8.435235,0.6512931,3.3053892005842224e-17,3.1632296885792643e-15,0.4365248624985969,Not Sig
Mertk,8.417461,0.74158347,3.847285726704603e-17,3.6451783397089254e-15,0.41014704231675836,Not Sig
Ppp4r1l-ps,8.377524,1.1750017,5.40523822524182e-17,5.062165621439054e-15,0.2678190593781569,Significant
Kansl1,8.241052,0.30842978,1.7070351368644764e-16,1.5379792362056986e-14,0.7062521046133123,Not Sig
Chst1,8.165902,1.0217743,3.1904171448684987e-16,2.7862813289257234e-14,0.3020541025928836,Significant
Ahcyl2,8.158412,0.5741612,3.3945880357905504e-16,2.960049576507653e-14,0.5002806151083175,Not Sig
Lpp,8.086683,0.33105686,6.131132370149433e-16,5.273607375961916e-14,0.6653945448422943,Not Sig
Clybl,7.936925,0.64724404,2.072550336207023e-15,1.7029305727844748e-13,0.423841059602649,Not Sig
Tspan5,7.926513,0.6290801,2.2538463490934478e-15,1.841266355290244e-13,0.44157593444831067,Not Sig
Tmem135,7.8756866,0.479776,3.388766100178915e-15,2.7370174540466327e-13,0.5370973173195644,Not Sig
Ncoa1,7.7930136,0.47023085,6.542971154520884e-15,5.131726177817819e-13,0.5293523403300033,Not Sig
Fmr1,7.778151,0.979809,7.359231179903599e-15,5.748175344511534e-13,0.3182175328319677,Not Sig
Arid1b,7.7655582,0.3107624,8.128654780634001e-15,6.323138413443724e-13,0.674935458525087,Not Sig
Trps1,7.755368,0.3864245,8.808748275083761e-15,6.824203204510808e-13,0.6890784599842855,Not Sig
Rere,7.7193484,0.29865053,1.1692566995323376e-14,8.9247514380792e-13,0.6959254686272309,Not Sig
Atp2b4,7.696529,0.64070773,1.3981200416553859e-14,1.0614713772253244e-12,0.415759344483107,Not Sig
