Gene
ALDH6A1
CTSB
MT1E
BGN
AKR7A3
SIDT2
ADTRP
UBL3
FAM189A2
ADGRG2
CBFB
ECI2
MPC1
METTL7A
PODXL
NEDD4L
MEST
STX12
CYB5R1
HDC
ACSL3
APOBEC2
PTPRZ1
CBX3
TMSB10
ACO2
SULT2A1
SUCLG2
ADA
KIAA0930
APLP1
HPGD
S100A10
NUP85
PDIA2
COL18A1
PLXNA1
DKC1
C5
GLUL
EBNA1BP2
UGT2B15
RARRES1
NT5DC2
LRFN4
TPD52L2
AZGP1
ARHGEF28
ENO1
SELENBP1
SPP1
SNRPD1
SLC7A8
SCNN1B
SEPTIN11
CTSA
CCT3
NUP62
CKB
ACSM3
CSE1L
NNMT
ASPN
PSMD2
ATR
DPY19L1
AKR1B10
U2SURP
FAM174B
PFDN4
CDC25B
GSTA4
PSPC1
UPP1
SERPINE2
BANF1
KCNJ15
DNMT1
PLOD3
SIRPA
SLC20A1
RPRM
UTP18
MXRA5
TGIF1
LEF1
ADO
PLAU
TBCB
IRAK1
NASP
SLC16A7
ACAT1
NR0B2
TMEM185B
MAP4K4
OXCT1
GOT1
GSTA1
CNIH4
GGCT
CPNE1
ELAPOR1
RFTN1
PUS7
PEX7
ALDH1A1
PTPN12
XK
FAM13A
NCAM1
ANOS1
SNX10
BCAP31
AP2S1
RAP1GAP2
CTSL
COL10A1
PLA2G7
LY6E
IGFBP2
AQP4
ZNF267
ATP6AP2
MAOA
RPS6KA3
TGFB1
APOC1
FXYD5
KLF4
PLLP
CIRBP
FOLR1
VCAM1
SRI
DCXR
PSMB3
LIPG
LPCAT1
CYP4F12
FMO5
CEP170
RAB11FIP2
C1orf54
PLSCR1
DSE
OBI1
ABHD11
TFDP1
GPR137B
RANBP1
TMPRSS2
MTARC2
ADAM28
PSMC4
GRINA
BLCAP
CYFIP2
STEAP1
LAMB1
UBA1
RNF114
PRKACB
PHTF2
EIF4G3
TUBB4B
JUN
PRMT1
BARD1
DNAJC4
FAM149A
DHRS7
HEXB
PKM
EPB41L4B
LTF
LOXL2
HPCAL1
F2R
COPB1
ASPM
S100A11
