,mt,ribo,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,highly_variable,means,dispersions,dispersions_norm
AC002558.3,False,False,141,0.08838821,91.85441941074524,153.0,False,0.06882358622941998,0.06531384173774357,-0.42058
AC002558.2,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
MYL4,False,False,318,0.6637782,81.62911611785096,1149.0,True,0.2839900938765443,0.8967577939067665,1.9879147
ITGB3,False,False,7,0.0057770074,99.59560947429232,10.0,False,0.0055698401392431434,0.5605068268236452,0.8004201
AC068234.3,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AC068234.2,False,False,23,0.013864818,98.67128827267476,24.0,False,0.012130359033083864,0.010801930703503054,-0.5549903
EFCAB13,False,False,100,0.06123628,94.22299248989023,106.0,False,0.0616277785711814,0.23794983536882852,0.0050895396
AC040934.1,False,False,12,0.006932409,99.30675909878683,12.0,False,0.00658825004914859,0.03186211054936318,-0.5030621
NPEPPS,False,False,492,0.3778163,71.57712305025996,654.0,False,0.3047901960395068,0.4357832007721552,0.28457752
AC025682.1,False,False,100,0.06239168,94.22299248989023,108.0,False,0.06847241279897859,0.46921382906914294,0.57531846
KPNB1,False,False,1037,1.3096476,40.09243212016176,2267.0,False,0.753864148636878,0.4911165654393931,0.15569827
AC015674.1,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
TBKBP1,False,False,29,0.016753322,98.32466782206816,29.0,False,0.01899490718057037,0.18591643880100078,-0.12320949
TBX21,False,False,2,0.0011554015,99.8844598497978,2.0,False,0.0013052387376507747,0.09152134233742382,-0.35596
OSBPL7,False,False,55,0.03235124,96.82264586943963,56.0,False,0.03521816549668368,0.23889530979930026,0.007420801
MRPL10,False,False,576,0.41998845,66.72443674176776,727.0,False,0.342008582109939,0.16636534219423868,-0.7109425
LRRC46,False,False,5,0.0028885037,99.71114962449451,5.0,False,0.0019019247102498801,-0.3677313678294345,-1.4883419
SCRN2,False,False,388,0.26285383,77.58521086077413,455.0,False,0.25205122586523515,0.3353220808590772,0.24518083
SP6,False,False,3,0.0017331023,99.8266897746967,3.0,False,0.0015201091995812746,-0.01918834521327448,-0.6289375
AC018521.3,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AC018521.7,False,False,1,0.00057770073,99.94222992489891,1.0,False,0.0007701371168982561,0.2357222157955243,-0.00040311427
AC018521.5,False,False,165,0.105141535,90.46793760831889,182.0,False,0.09666851428152007,0.2390789105008682,0.007873506
SP2,False,False,173,0.10803004,90.00577700751012,187.0,False,0.09904280216064264,0.24840954407319435,0.030880101
SP2-AS1,False,False,63,0.036972847,96.36048526863085,64.0,False,0.034842304129581475,0.03653694624637813,-0.49153534
AC018521.6,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
PNPO,False,False,173,0.12073946,90.00577700751012,209.0,False,0.0802847221070547,0.04108349317223321,-0.4803249
AC018521.2,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
