group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
0,HLA-DRB5,24.940153,3.220349,2.7309676602356627e-137,7.139724809448964e-134,0.8228021978021978,0.2448087431693989
0,AJ009632.2,17.623182,2.437535,1.6354029168017318e-69,8.43061720533242e-67,0.6744505494505495,0.22076502732240438
0,AC011139.1,15.650803,5.7267118,3.2805365821082266e-55,1.165737081958672e-52,0.4642857142857143,0.02185792349726776
0,AL691403.1,15.182936,2.17886,4.5877794737407415e-52,1.4230281060880075e-49,0.6098901098901099,0.22076502732240438
0,TLE4,14.520626,3.2418766,8.968738954394708e-48,2.378730539636237e-45,0.4793956043956044,0.073224043715847
0,FRMD4B,13.637179,1.9042308,2.40690493559024e-42,5.404609051996219e-40,0.5906593406593407,0.2448087431693989
0,LINC00910,13.142724,2.4814208,1.8735873496590193e-39,3.6671214216507896e-37,0.4876373626373626,0.1355191256830601
0,PCDH9,12.14324,2.1987474,6.2309083185890005e-34,9.622678285598144e-32,0.4807692307692308,0.146448087431694
0,SNHG31,12.13811,1.8583227,6.634029829248356e-34,1.0202190158836935e-31,0.5247252747252747,0.21967213114754097
0,EVI2B,10.579217,1.7965033,3.720551907535048e-26,3.846777411516675e-24,0.4684065934065934,0.18032786885245902
0,AL589693.1,10.467471,2.2247124,1.218550593456138e-25,1.2119611486708724e-23,0.4519230769230769,0.1901639344262295
0,FLT3,10.182114,1.596578,2.3832809459283857e-24,2.208366225365186e-22,0.49175824175824173,0.2174863387978142
0,RAMP1,10.106639,4.3497024,5.1624908105889056e-24,4.7003066208548395e-22,0.30494505494505497,0.014207650273224045
0,PROM1,9.956842,1.454778,2.3542172217291413e-23,2.056484595047931e-21,0.49862637362637363,0.23278688524590163
0,TNRC18,9.847347,1.5486978,7.037713700691565e-23,6.032490846815268e-21,0.4793956043956044,0.24043715846994534
0,SORL1,9.839653,1.6427567,7.597241958211476e-23,6.4817401611304946e-21,0.46153846153846156,0.1923497267759563
0,PBXIP1,9.751251,1.9714388,1.8220927129829975e-22,1.5226122234678242e-20,0.4010989010989011,0.13114754098360656
0,GLIPR1,9.669758,1.6231898,4.0533761467898464e-22,3.304178626918823e-20,0.45054945054945056,0.18032786885245902
0,EGR1,9.6585045,2.6621444,4.524206693282836e-22,3.671629471859093e-20,0.3434065934065934,0.07213114754098361
0,NPR3,9.613858,1.403161,6.98802186233423e-22,5.608960267177525e-20,0.5027472527472527,0.24699453551912567
0,GUCY1A1,9.081142,1.4494425,1.0744142329937559e-19,7.69562335456056e-18,0.4697802197802198,0.23934426229508196
0,RHOC,9.076013,1.7423793,1.126251163876703e-19,8.051156025205315e-18,0.4010989010989011,0.15191256830601094
0,PRSS21,8.926059,4.406682,4.414559609467056e-19,3.0257920649083094e-17,0.2706043956043956,0.014207650273224045
0,GPC6,8.892876,4.257181,5.954765717378191e-19,4.058666294632387e-17,0.27472527472527475,0.02185792349726776
0,PPP1R10,8.757053,1.7445378,2.0042140188252224e-18,1.3217340054598554e-16,0.39972527472527475,0.1814207650273224
0,AC026369.3,8.719996,2.3179028,2.782108398086514e-18,1.8151149639637165e-16,0.3324175824175824,0.09289617486338798
0,BTBD11,8.48588,1.3899128,2.1409298652404233e-17,1.2720807467153364e-15,0.4409340659340659,0.21530054644808744
0,KLHL24,8.40894,1.3625966,4.137331560920986e-17,2.4267703920075162e-15,0.45467032967032966,0.24918032786885247
0,RNF125,8.366597,1.3616704,5.930618802284646e-17,3.440040868184157e-15,0.4519230769230769,0.24371584699453552
0,SKIL,8.338752,1.501855,7.507871036437434e-17,4.313902477309993e-15,0.4230769230769231,0.2098360655737705
0,TP53BP1,8.1720495,1.430128,3.0319495040800813e-16,1.661263230521483e-14,0.4230769230769231,0.21420765027322405
0,SAT2,8.048474,1.5384616,8.383238538578429e-16,4.3896268061589284e-14,0.38324175824175827,0.16393442622950818
0,LAIR1,8.006917,1.6256108,1.1762025361600174e-15,6.106409790920965e-14,0.3626373626373626,0.13879781420765028
0,ELMO1-AS1,7.9148507,1.3494117,2.4755031112843365e-15,1.2601653598903755e-13,0.43543956043956045,0.23934426229508196
0,PER1,7.8638716,1.5069767,3.724399113376441e-15,1.87248258171279e-13,0.3956043956043956,0.1989071038251366
0,MIR99AHG,7.800278,1.2282981,6.177078146748898e-15,3.056500419623476e-13,0.43956043956043955,0.22513661202185792
0,ARRDC3,7.790177,1.7485299,6.6915538432966566e-15,3.300775771138827e-13,0.3557692307692308,0.15300546448087432
0,FAM117A,7.7060666,1.4549197,1.2975515094336231e-14,6.232504304039375e-13,0.39697802197802196,0.20327868852459016
0,GSN,7.6927195,1.2445962,1.4403985675434157e-14,6.891506924268832e-13,0.3914835164835165,0.16612021857923498
0,GIT2,7.615361,1.3280659,2.629550535370224e-14,1.2338997326293023e-12,0.42032967032967034,0.23278688524590163
0,P2RX1,7.5971994,1.5028306,3.0260844797663635e-14,1.416339105421083e-12,0.37225274725274726,0.16721311475409836
0,FAM215B,7.572861,2.729993,3.6509245455746204e-14,1.7066090586535976e-12,0.2651098901098901,0.05136612021857923
0,BEX1,7.3895664,2.1853607,1.4730819765410013e-13,6.5353058695002655e-12,0.3008241758241758,0.0994535519125683
0,IL12A-AS1,7.285986,2.6510172,3.1932668304805843e-13,1.3864384254142333e-11,0.26373626373626374,0.06120218579234973
0,AL121944.1,7.2266846,1.8362463,4.949277879166475e-13,2.1112881078714702e-11,0.3131868131868132,0.11475409836065574
0,NEGR1,6.97472,1.2896706,3.0648068729648364e-12,1.2313391477210314e-10,0.37362637362637363,0.17704918032786884
0,SNHG12,6.9590178,1.3726456,3.4265281797101054e-12,1.3721483359471505e-10,0.3708791208791209,0.1912568306010929
0,ATP2B1-AS1,6.9537315,1.786648,3.557480772973365e-12,1.4230311887606352e-10,0.2925824175824176,0.09180327868852459
0,HDAC9,6.8878355,1.6770141,5.664761803373022e-12,2.2318185873547466e-10,0.30357142857142855,0.10710382513661203
0,AC103591.3,6.82262,1.3944446,8.939489927971946e-12,3.447779461050592e-10,0.3598901098901099,0.18360655737704917
0,ARHGAP25,6.770751,1.8471001,1.2811552832663733e-11,4.871083402908451e-10,0.2980769230769231,0.11366120218579236
0,NCF4,6.7273088,1.2983183,1.7282957576824582e-11,6.468032006844137e-10,0.38186813186813184,0.2284153005464481
0,THRB,6.6757016,2.0857258,2.4605199828607063e-11,9.133619867412243e-10,0.27472527472527475,0.09508196721311475
0,RRP12,6.510412,1.123052,7.49449292066923e-11,2.635023394710994e-09,0.39972527472527475,0.24262295081967214
0,DYTN,6.460061,1.3250151,1.0466077320947499e-10,3.620688998336478e-09,0.34065934065934067,0.16065573770491803
0,LPCAT2,6.314556,1.0616963,2.70938388324278e-10,8.998744057220415e-09,0.39972527472527475,0.23934426229508196
0,DOCK10,6.2786508,1.1438472,3.4152395683633756e-10,1.1210868470104746e-08,0.36126373626373626,0.18797814207650274
0,ANXA6,6.265775,1.2824594,3.709755752010802e-10,1.2123283060656014e-08,0.3228021978021978,0.1431693989071038
0,RORA,6.2411227,1.8146367,4.344406845316144e-10,1.4121637206520088e-08,0.2925824175824176,0.13442622950819672
0,ING4,6.188207,1.116463,6.085230889987928e-10,1.9418093792889985e-08,0.3804945054945055,0.23060109289617486
0,BMERB1,6.1406302,1.8527912,8.219474831820368e-10,2.591223069073706e-08,0.25824175824175827,0.08633879781420765
0,YPEL3,6.0475698,1.6609262,1.470470601475416e-09,4.4813234375188765e-08,0.2706043956043956,0.0994535519125683
0,MYCT1,6.0074773,1.4412589,1.884322019209247e-09,5.681060150335886e-08,0.30631868131868134,0.14863387978142076
0,JUP,6.0068493,1.5032326,1.891633031125883e-09,5.6984082775504895e-08,0.29120879120879123,0.12349726775956284
0,SPTBN1,5.970682,1.23301,2.3626345043348002e-09,7.007681158278608e-08,0.3228021978021978,0.15628415300546447
0,MAML2,5.9499555,1.5027283,2.6821515409687204e-09,7.910509955761171e-08,0.29945054945054944,0.1355191256830601
0,TNFRSF14,5.8946323,1.406106,3.755166273763536e-09,1.0899511561143471e-07,0.30631868131868134,0.1540983606557377
0,SCRN2,5.8016763,1.3032768,6.5655133300511915e-09,1.8428247959601508e-07,0.3131868131868132,0.16393442622950818
0,ANKRD44,5.6988807,1.1365385,1.2059650135621618e-08,3.2866362964548534e-07,0.35027472527472525,0.2
0,AC009318.1,5.6703553,1.6139271,1.42501497859842e-08,3.843549980227028e-07,0.2664835164835165,0.11256830601092896
0,FOXO1,5.629583,1.4302251,1.806461588606272e-08,4.822633158612557e-07,0.3324175824175824,0.2010928961748634
0,SERINC1,5.6245055,1.2487019,1.860399046816626e-08,4.948580342480765e-07,0.3434065934065934,0.21530054644808744
0,BICRAL,5.582215,1.3735933,2.374745416545584e-08,6.199576104920465e-07,0.3008241758241758,0.15737704918032788
0,TMEM241,5.4563375,1.0697342,4.8605601455549275e-08,1.2205334891492962e-06,0.35714285714285715,0.2273224043715847
0,KHDRBS2,5.3736925,1.1876068,7.714034087246623e-08,1.8708967020269683e-06,0.29945054945054944,0.14863387978142076
0,HIST1H1C,5.3522334,1.5615075,8.687535113474373e-08,2.0905488013693327e-06,0.3021978021978022,0.18032786885245902
0,SVIL,5.319887,1.049824,1.0383168216207836e-07,2.47579374515585e-06,0.3282967032967033,0.18032786885245902
0,TMEM163,5.311303,1.2395542,1.0884399903337552e-07,2.5936192764456885e-06,0.27884615384615385,0.12786885245901639
0,RAB37,5.28864,1.0051713,1.2322907965868429e-07,2.904254697094336e-06,0.35027472527472525,0.2185792349726776
0,KLF12,5.2717867,1.3388243,1.3510208434217238e-07,3.1718225715252414e-06,0.2802197802197802,0.13879781420765028
0,ZNF277,5.259539,1.0097855,1.444169330581681e-07,3.373199851220173e-06,0.3475274725274725,0.21530054644808744
0,MOAP1,5.1733875,1.4593966,2.2988757201557562e-07,5.193898162556841e-06,0.26373626373626374,0.12786885245901639
0,CTSF,5.1367497,1.1989633,2.795311438327575e-07,6.2422937128875885e-06,0.2802197802197802,0.1366120218579235
0,ZNF709,5.135912,1.355462,2.807789248121335e-07,6.26633501649323e-06,0.2554945054945055,0.10819672131147541
0,ADGRG6,5.133138,1.3047609,2.849507370484099e-07,6.347828318142939e-06,0.2706043956043956,0.12896174863387977
0,AC025159.1,4.979834,1.172741,6.363874496384294e-07,1.3605383787509437e-05,0.2980769230769231,0.17049180327868851
0,NAALADL1,4.973135,1.2759237,6.587883224652163e-07,1.405965678749235e-05,0.260989010989011,0.12131147540983607
0,ORAI2,4.9688954,1.0744289,6.733544119040583e-07,1.434542772415625e-05,0.3173076923076923,0.19562841530054645
0,CCM2,4.9538736,1.218561,7.275045631776319e-07,1.5454088518203426e-05,0.3008241758241758,0.1814207650273224
0,AC004797.1,4.9290643,1.2635509,8.262429482235401e-07,1.7380067901109075e-05,0.29120879120879123,0.1726775956284153
0,PRKN,4.837574,1.0208775,1.3143330598911797e-06,2.6814885354000593e-05,0.32554945054945056,0.2010928961748634
0,ANXA5,4.829409,1.0438577,1.3693874352498061e-06,2.77832314398992e-05,0.3118131868131868,0.1901639344262295
