,mt,ribo,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,highly_variable,means,dispersions,dispersions_norm
MS4A1,False,False,8,0.012709416,99.53783939919121,22.0,True,0.04516828695776625,2.341378934610202,5.1915264
MS4A13,False,False,5,0.0028885037,99.71114962449451,5.0,True,0.005174985148474571,0.7351269282914709,1.2309818
AP003721.2,False,False,2,0.0011554015,99.8844598497978,2.0,True,0.0023114005502194853,0.8018240474464745,1.3954374
FADS2,False,False,276,0.21143848,84.05545927209705,366.0,True,0.1526761952118121,0.8299504075049624,1.4647887
FTH1,False,False,1702,42.451183,1.675332177931832,73483.0,True,3.546205789655486,2.751525977204627,1.7156717
INTS5,False,False,66,0.041016754,96.18717504332756,71.0,True,0.03789920288578241,0.8306839326006258,1.4665973
PLAAT3,False,False,11,0.00751011,99.36452917388793,13.0,True,0.017859418218952768,2.3752760693682573,5.275107
FERMT3,False,False,544,0.48064703,68.5730791450029,832.0,True,0.3888963057602537,0.6693487253415004,1.1476204
PPP1R14B-AS1,False,False,15,0.008665511,99.13344887348353,15.0,True,0.008449305862009412,0.6944994478379012,1.1308064
CCDC88B,False,False,75,0.044482958,95.66724436741768,77.0,True,0.05309048499215675,0.7817653904671855,1.3459786
AP005273.2,False,False,1,0.00057770073,99.94222992489891,1.0,True,0.001335316070739382,0.7863595632418211,1.3573065
CDC42BPG,False,False,14,0.00808781,99.19121894858463,14.0,True,0.012371168130469132,0.7007602020707885,1.1462436
SSSCA1-AS1,False,False,24,0.013864818,98.61351819757365,24.0,True,0.01876359840366597,0.7180782378997554,1.1889448
FOSL1,False,False,280,0.21317157,83.82437897169265,369.0,True,0.21832592048091992,0.801783423171603,1.3953371
RAB1B,False,False,218,0.14558059,87.40612362796072,252.0,True,0.13007729852216637,0.7237672564306021,1.2029723
C11orf80,False,False,66,0.041594453,96.18717504332756,72.0,True,0.04764032755759473,0.6767579772228481,1.0870612
ACY3,False,False,53,0.035817448,96.93818601964182,62.0,True,0.051175234899231196,1.1459160235484869,2.2438667
TPCN2,False,False,61,0.036395147,96.47602541883305,63.0,True,0.0386421700485118,0.9564736927791319,1.7767578
AP002336.2,False,False,289,0.20161757,83.30444829578279,349.0,True,0.2119181563890983,0.7845075854453212,1.35274
AP003717.4,False,False,12,0.00751011,99.30675909878683,13.0,True,0.010045442173037189,0.720558653458502,1.1950607
AP001372.1,False,False,10,0.006354708,99.42229924898902,11.0,True,0.00719335997050407,0.6717946231241989,1.074823
KCNE3,False,False,10,0.0057770074,99.42229924898902,10.0,True,0.006150784839505872,0.849166136586374,1.512169
B3GNT6,False,False,2,0.0011554015,99.8844598497978,2.0,True,0.0027889195088914693,1.0815755631842512,2.0852222
AQP11,False,False,103,0.06181398,94.04968226458695,107.0,True,0.07126271608837241,0.7013720683445277,1.1477523
GAB2,False,False,902,1.061814,47.89139225880994,1838.0,True,0.779687134545255,1.016748119151947,1.6603221
TENM4,False,False,3,0.0017331023,99.8266897746967,3.0,True,0.005690827908765328,1.6956519949641733,3.5993538
LINC02734,False,False,29,0.041594453,98.32466782206816,72.0,True,0.04718975217863825,1.5480095624885988,3.235311
DLG2,False,False,185,0.1559792,89.31253610629693,270.0,True,0.17343173414588742,0.9436755779709888,1.7452015
CCDC83,False,False,2,0.0011554015,99.8844598497978,2.0,True,0.003513316374050434,1.2386420618953577,2.472502
PRSS23,False,False,17,0.010976315,99.01790872328135,19.0,True,0.015785044563550243,1.6941123119140988,3.5955575
AP001528.1,False,False,4,0.002310803,99.7689196995956,4.0,True,0.004379782950835738,1.4802633138788188,3.0682688
DISC1FP1,False,False,224,0.19699596,87.05950317735413,341.0,True,0.2231461439496459,0.9589981780702272,1.7829825
FAT3,False,False,6,0.0034662045,99.65337954939342,6.0,True,0.00876063324954227,1.1760813736788274,2.3182456
AP002784.1,False,False,8,0.004621606,99.53783939919121,8.0,True,0.005776998942428779,0.8450562692103702,1.5020353
PIWIL4,False,False,31,0.019641826,98.20912767186597,34.0,True,0.028898434245104215,1.270215193435982,2.5503519
AP000943.2,False,False,11,0.006932409,99.36452917388793,12.0,True,0.012636871785059036,1.209805710250129,2.4013999
MAML2,False,False,346,0.32582322,80.01155401502022,564.0,True,0.35179714928137595,1.104123676362237,2.7541478
CNTN5,False,False,8,0.00808781,99.53783939919121,14.0,True,0.009482744140412119,1.5021314401790902,3.122189
BIRC3,False,False,176,0.119584054,89.83246678220682,207.0,True,0.1440823145376305,0.8079698250729439,1.410591
AP002961.1,False,False,1,0.00057770073,99.94222992489891,1.0,True,0.0013714213271453536,0.8130573057307928,1.4231352
LINC02550,False,False,15,0.009243212,99.13344887348353,16.0,True,0.014284814099292198,0.8319069179186135,1.4696128
POU2AF1,False,False,3,0.0034662045,99.8266897746967,6.0,True,0.008396975489587573,1.949740324581917,4.2258606
TTC12,False,False,65,0.03870595,96.24494511842865,67.0,True,0.043236818516484074,0.6895680817133685,1.1186471
HTR3A,False,False,1,0.00057770073,99.94222992489891,1.0,True,0.0017280960776230217,1.0444082614570804,1.9935786
NNMT,False,False,13,0.010398613,99.24898902368572,18.0,True,0.022573603356546127,2.2796938607720727,5.039429
REXO2,False,False,759,1.9832467,56.15251299826689,3433.0,True,0.7583193154748497,1.129793865637181,1.9839163
TAGLN,False,False,14,0.00808781,99.19121894858463,14.0,True,0.010241504850241962,1.0022593093705419,1.8896517
IL10RA,False,False,14,0.009243212,99.19121894858463,16.0,True,0.01681383608796983,1.2712329068257027,2.5528615
JAML,False,False,177,0.13056037,89.77469670710572,226.0,True,0.16309302264280792,0.8336222698468557,1.4738424
CD3D,False,False,2,0.0011554015,99.8844598497978,2.0,True,0.003345538463625352,1.106053646515656,2.145578
AP003392.4,False,False,3,0.0017331023,99.8266897746967,3.0,True,0.0031782795425921357,0.8622161233743767,1.5443463
HMBS,False,False,447,0.83651066,74.17677642980935,1448.0,True,0.37871302129496215,0.8370767199563401,1.7673885
DPAGT1,False,False,152,0.094742924,91.21894858463317,164.0,True,0.08347105032744774,0.7303401231969371,1.219179
SORL1,False,False,515,0.4581167,70.24841132293471,793.0,True,0.44239127602427536,0.7360290422051669,1.3940094
MIR100HG,False,False,67,0.04563836,96.12940496822647,79.0,True,0.057582305762147554,0.6953809733814993,1.13298
HSPA8,False,False,1370,5.1132293,20.854997111496242,8851.0,True,1.4756169067304397,1.4457405880616125,1.0710107
ADAMTS8,False,False,2,0.0011554015,99.8844598497978,2.0,True,0.002238151565754478,0.7118169651923554,1.1735064
ADAMTS15,False,False,2,0.0011554015,99.8844598497978,2.0,True,0.0023068565056844226,0.8423241505159642,1.4952986
IGSF9B,False,False,4,0.002310803,99.7689196995956,4.0,True,0.0036364963506363285,0.724539326194857,1.204876
CACNA1C,False,False,50,0.032928944,97.11149624494512,57.0,True,0.04300457401782435,1.049206013187104,2.0054083
TSPAN9,False,False,6,0.0034662045,99.65337954939342,6.0,True,0.006519576148143988,1.2123679788967645,2.4077177
AC005832.1,False,False,1,0.00057770073,99.94222992489891,1.0,True,0.0014092075112627413,0.8402560538489366,1.4901993
VWF,False,False,58,0.05430387,96.64933564413633,94.0,True,0.05749071230101583,0.9043949201030914,1.6483469
CD27,False,False,2,0.0011554015,99.8844598497978,2.0,True,0.001802829197718132,1.0867826357245611,2.0980613
IFFO1,False,False,81,0.04794916,95.32062391681109,83.0,True,0.049949095715149855,0.784088358535911,1.3517063
AC125494.2,False,False,2,0.0011554015,99.8844598497978,2.0,True,0.002169307026471059,0.7255962517490229,1.207482
U47924.2,False,False,11,0.006354708,99.36452917388793,11.0,True,0.008453176930882154,0.7539998032769724,1.2775168
C1R,False,False,45,0.026574235,97.4003466204506,46.0,True,0.035070760084369705,1.0998311994237835,2.1302352
CD163L1,False,False,8,0.004621606,99.53783939919121,8.0,True,0.005693454997981979,0.794028016718086,1.3762146
NANOG,False,False,5,0.0028885037,99.71114962449451,5.0,True,0.004176664448157565,0.726236688258684,1.2090611
SLC2A3,False,False,126,0.09936453,92.72097053726169,172.0,True,0.1302887793710887,1.3452836560904444,2.7354486
AC092745.5,False,False,53,0.03177354,96.93818601964182,55.0,True,0.036708174033248823,0.7848871979089306,1.3536761
A2M,False,False,12,0.00751011,99.30675909878683,13.0,True,0.010194723711884955,1.0625212662668895,2.03824
CLECL1,False,False,16,0.010398613,99.07567879838244,18.0,True,0.013445371411059497,0.9344304290521713,1.7224056
CD69,False,False,724,1.2784518,58.174465626805315,2213.0,True,0.9132142222768235,1.6223248507914307,2.5353868
CLEC1B,False,False,26,0.023685731,98.49797804737146,41.0,True,0.0262957660948242,0.9096559577679684,1.661319
AC022075.1,False,False,20,0.012131716,98.84459849797804,21.0,True,0.013649526035454444,0.9943605621294973,1.8701757
KLRK1,False,False,2,0.0011554015,99.8844598497978,2.0,True,0.003263559251732035,1.359684077800276,2.7709558
TAS2R30,False,False,5,0.0028885037,99.71114962449451,5.0,True,0.00921052034776145,1.9766925749616646,4.292317
MANSC1,False,False,88,0.05430387,94.9162333911034,94.0,True,0.06312626730050763,0.7994361731552444,1.3895495
CDKN1B,False,False,143,0.08781052,91.73887926054304,152.0,True,0.10103690561080024,0.7332993440437918,1.2264756
APOLD1,False,False,140,0.09878683,91.91218948584633,171.0,True,0.10465610666520898,0.7585778247298759,1.2888049
GPRC5A,False,False,3,0.002310803,99.8266897746967,4.0,True,0.006717616134623618,2.4046178713969755,5.347455
GSG1,False,False,64,0.042172156,96.30271519352975,73.0,True,0.05094491501898116,0.6714231158171264,1.073907
EMP1,False,False,339,0.384171,80.4159445407279,665.0,True,0.41849760301900474,2.5296404778994215,8.0215435
GRIN2B,False,False,3,0.0017331023,99.8266897746967,3.0,True,0.003909683825162033,1.1771875741709716,2.3209732
MGP,False,False,2,0.0011554015,99.8844598497978,2.0,True,0.003947826631714547,1.5808102385042544,3.3161879
EPS8,False,False,79,0.050259966,95.43616406701328,87.0,True,0.06235574450827194,0.6981140357472925,1.139719
PDE3A,False,False,109,0.08492201,93.70306181398036,147.0,True,0.09324085875158265,0.7436442700222922,1.2519832
AC084816.1,False,False,38,0.028885037,97.80473714615829,50.0,True,0.03693011364226658,0.7214335237006101,1.197218
SOX5,False,False,12,0.012709416,99.30675909878683,22.0,True,0.030103169252537164,2.264791564758023,5.0026846
PDZRN4,False,False,103,0.091854416,94.04968226458695,159.0,True,0.09757347964965024,0.6952427643563853,1.1326393
PCED1B,False,False,121,0.11554015,93.00982091276718,200.0,True,0.12149640907017498,1.0437825057701167,1.9920356
PCED1B-AS1,False,False,7,0.0051993066,99.59560947429232,9.0,True,0.01112752350444382,1.3397809995968595,2.7218807
AC008083.2,False,False,5,0.0028885037,99.71114962449451,5.0,True,0.004391922839402754,1.467431700526462,3.0366297
AC121338.2,False,False,2,0.0011554015,99.8844598497978,2.0,True,0.005649962614703127,2.0186617600095125,4.3958006
AC090115.1,False,False,5,0.0028885037,99.71114962449451,5.0,True,0.004805102528876179,1.0853496015381507,2.0945277
AC024257.4,False,False,1,0.00057770073,99.94222992489891,1.0,True,0.001310306228196549,0.7674399452263678,1.3106562
TUBA1B,False,False,1539,12.1658,11.09185441941074,21059.0,True,2.30244465346517,2.2360764564241524,1.404532
